Your comment line - do NOT delete this line
Col 0: X-pos [m]
Col 1: Y-pos [m]
Col 2: Voltage [V]

Col 0		Col 1		Col 2
0.0245		0.0005		2.28883e-05
0.02455		0.0005		2.28883e-05
0.0246		0.0005		2.28883e-05
0.02465		0.0005		1.52589e-05
0.0247		0.0005		1.52589e-05
0.02475		0.0005		1.52589e-05
0.0248		0.0005		1.90736e-05
0.02485		0.0005		1.52589e-05
0.0249		0.0005		1.90736e-05
0.02495		0.0005		1.90736e-05
0.025		0.0005		1.90736e-05
0.02505		0.0005		2.28883e-05
0.0251		0.0005		2.6703e-05
0.02515		0.0005		3.43325e-05
0.0252		0.0005		3.81472e-05
0.02525		0.0005		4.57766e-05
0.0253		0.0005		4.95913e-05
0.02535		0.0005		5.3406e-05
0.0254		0.0005		6.10356e-05
0.02545		0.0005		6.8665e-05
0.0255		0.0005		8.01091e-05
0.02555		0.0005		9.53679e-05
0.0256		0.0005		0.000118256
0.02565		0.0005		0.000171662
0.0257		0.0005		0.000389101
0.02575		0.0005		0.000953678
0.0258		0.0005		0.00278093
0.02585		0.0005		0.00786978
0.0259		0.0005		0.0156289
0.02595		0.0005		0.0234262
0.026		0.0005		0.0275422
0.02605		0.0005		0.0241548
0.0261		0.0005		0.0168191
0.02615		0.0005		0.00838476
0.0262		0.0005		0.0028763
0.02625		0.0005		0.00080109
0.0263		0.0005		0.000263216
0.02635		0.0005		0.000164033
0.0264		0.0005		0.000129701
0.02645		0.0005		0.000106812
0.0265		0.0005		9.15532e-05
0.02655		0.0005		7.62944e-05
0.0266		0.0005		7.24797e-05
0.02665		0.0005		6.48503e-05
0.0267		0.0005		5.3406e-05
0.02675		0.0005		4.95913e-05
0.0268		0.0005		4.19619e-05
0.02685		0.0005		3.05178e-05
0.0269		0.0005		2.6703e-05
0.02695		0.0005		2.28883e-05
0.027		0.0005		1.90736e-05
0.02705		0.0005		1.52589e-05
0.0271		0.0005		1.52589e-05
0.02715		0.0005		1.52589e-05
0.0272		0.0005		1.52589e-05
0.02725		0.0005		1.52589e-05
0.0273		0.0005		1.52589e-05
0.02735		0.0005		1.52589e-05
0.0274		0.0005		2.28883e-05
0.02745		0.0005		2.28883e-05
0.0275		0.0005		1.90736e-05
0.0275		0.0		1.90736e-05
0.02745		0.0		1.52589e-05
0.0274		0.0		1.90736e-05
0.02735		0.0		1.90736e-05
0.0273		0.0		1.52589e-05
0.02725		0.0		1.52589e-05
0.0272		0.0		1.52589e-05
0.02715		0.0		1.52589e-05
0.0271		0.0		1.52589e-05
0.02705		0.0		1.90736e-05
0.027		0.0		1.90736e-05
0.02695		0.0		2.28883e-05
0.0269		0.0		2.6703e-05
0.02685		0.0		2.6703e-05
0.0268		0.0		3.05178e-05
0.02675		0.0		3.43325e-05
0.0267		0.0		4.57766e-05
0.02665		0.0		4.95913e-05
0.0266		0.0		5.3406e-05
0.02655		0.0		6.48503e-05
0.0265		0.0		8.39238e-05
0.02645		0.0		0.000118256
0.0264		0.0		0.000183106
0.02635		0.0		0.000324251
0.0263		0.0		0.000816349
0.02625		0.0		0.0032158
0.0262		0.0		0.00889975
0.02615		0.0		0.0134926
0.0261		0.0		0.0198175
0.02605		0.0		0.0294267
0.026		0.0		0.0360606
0.02595		0.0		0.0359538
0.0259		0.0		0.0319865
0.02585		0.0		0.0248758
0.0258		0.0		0.0171281
0.02575		0.0		0.010994
0.0257		0.0		0.00739673
0.02565		0.0		0.00428393
0.0256		0.0		0.00205614
0.02555		0.0		0.000961307
0.0255		0.0		0.000377657
0.02545		0.0		0.000133515
0.0254		0.0		8.39238e-05
0.02535		0.0		6.48503e-05
0.0253		0.0		5.3406e-05
0.02525		0.0		4.95913e-05
0.0252		0.0		4.57766e-05
0.02515		0.0		3.43325e-05
0.0251		0.0		3.05178e-05
0.02505		0.0		2.28883e-05
0.025		0.0		1.90736e-05
0.02495		0.0		1.90736e-05
0.0249		0.0		1.52589e-05
0.02485		0.0		1.52589e-05
0.0248		0.0		1.52589e-05
0.02475		0.0		1.52589e-05
0.0247		0.0		1.90736e-05
0.02465		0.0		2.28883e-05
0.0246		0.0		2.28883e-05
0.02455		0.0		2.28883e-05
0.0245		0.0		2.28883e-05
0.0245		-0.0004999		1.90736e-05
0.02455		-0.0004999		1.90736e-05
0.0246		-0.0004999		1.90736e-05
0.02465		-0.0004999		1.52589e-05
0.0247		-0.0004999		1.90736e-05
0.02475		-0.0004999		1.90736e-05
0.0248		-0.0004999		1.90736e-05
0.02485		-0.0004999		1.90736e-05
0.0249		-0.0004999		1.52589e-05
0.02495		-0.0004999		1.52589e-05
0.025		-0.0004999		1.52589e-05
0.02505		-0.0004999		1.52589e-05
0.0251		-0.0004999		1.90736e-05
0.02515		-0.0004999		1.90736e-05
0.0252		-0.0004999		2.28883e-05
0.02525		-0.0004999		2.28883e-05
0.0253		-0.0004999		2.28883e-05
0.02535		-0.0004999		3.05178e-05
0.0254		-0.0004999		3.81472e-05
0.02545		-0.0004999		4.95913e-05
0.0255		-0.0004999		9.15532e-05
0.02555		-0.0004999		0.000247957
0.0256		-0.0004999		0.00054932
0.02565		-0.0004999		0.00111008
0.0257		-0.0004999		0.00202562
0.02575		-0.0004999		0.00310518
0.0258		-0.0004999		0.00434497
0.02585		-0.0004999		0.00569537
0.0259		-0.0004999		0.00670245
0.02595		-0.0004999		0.00694659
0.026		-0.0004999		0.00661471
0.02605		-0.0004999		0.00591281
0.0261		-0.0004999		0.00486377
0.02615		-0.0004999		0.00372316
0.0262		-0.0004999		0.00255205
0.02625		-0.0004999		0.00136948
0.0263		-0.0004999		0.000545505
0.02635		-0.0004999		0.000217439
0.0264		-0.0004999		9.91826e-05
0.02645		-0.0004999		5.3406e-05
0.0265		-0.0004999		4.19619e-05
0.02655		-0.0004999		3.43325e-05
0.0266		-0.0004999		3.05178e-05
0.02665		-0.0004999		3.05178e-05
0.0267		-0.0004999		2.6703e-05
0.02675		-0.0004999		2.28883e-05
0.0268		-0.0004999		1.90736e-05
0.02685		-0.0004999		1.90736e-05
0.0269		-0.0004999		1.52589e-05
0.02695		-0.0004999		1.33515e-05
0.027		-0.0004999		1.52589e-05
0.02705		-0.0004999		1.33515e-05
0.0271		-0.0004999		1.52589e-05
0.02715		-0.0004999		1.52589e-05
0.0272		-0.0004999		1.90736e-05
0.02725		-0.0004999		1.90736e-05
0.0273		-0.0004999		1.90736e-05
0.02735		-0.0004999		2.0981e-05
0.0274		-0.0004999		1.90736e-05
0.02745		-0.0004999		1.71663e-05
0.0275		-0.0004999		1.52589e-05
0.0275		-0.0009999		1.14442e-05
0.02745		-0.0009999		1.14442e-05
0.0274		-0.0009999		1.33515e-05
0.02735		-0.0009999		1.71663e-05
0.0273		-0.0009999		1.33515e-05
0.02725		-0.0009999		1.33515e-05
0.0272		-0.0009999		1.52589e-05
0.02715		-0.0009999		1.33515e-05
0.0271		-0.0009999		1.52589e-05
0.02705		-0.0009999		1.33515e-05
0.027		-0.0009999		1.71663e-05
0.02695		-0.0009999		1.90736e-05
0.0269		-0.0009999		2.0981e-05
0.02685		-0.0009999		1.90736e-05
0.0268		-0.0009999		2.0981e-05
0.02675		-0.0009999		2.28883e-05
0.0267		-0.0009999		2.47956e-05
0.02665		-0.0009999		2.0981e-05
0.0266		-0.0009999		2.0981e-05
0.02655		-0.0009999		1.90736e-05
0.0265		-0.0009999		2.0981e-05
0.02645		-0.0009999		2.28883e-05
0.0264		-0.0009999		2.86103e-05
0.02635		-0.0009999		4.38693e-05
0.0263		-0.0009999		7.82018e-05
0.02625		-0.0009999		0.000160218
0.0262		-0.0009999		0.000305178
0.02615		-0.0009999		0.000482561
0.0261		-0.0009999		0.000646595
0.02605		-0.0009999		0.000793461
0.026		-0.0009999		0.000896458
0.02595		-0.0009999		0.000949863
0.0259		-0.0009999		0.000949863
0.02585		-0.0009999		0.000860218
0.0258		-0.0009999		0.000700001
0.02575		-0.0009999		0.000513081
0.0257		-0.0009999		0.000345232
0.02565		-0.0009999		0.000215531
0.0256		-0.0009999		0.000131608
0.02555		-0.0009999		8.39238e-05
0.0255		-0.0009999		5.14986e-05
0.02545		-0.0009999		3.43325e-05
0.0254		-0.0009999		2.6703e-05
0.02535		-0.0009999		2.28883e-05
0.0253		-0.0009999		2.0981e-05
0.02525		-0.0009999		2.28883e-05
0.0252		-0.0009999		1.90736e-05
0.02515		-0.0009999		2.0981e-05
0.0251		-0.0009999		1.90736e-05
0.02505		-0.0009999		1.90736e-05
0.025		-0.0009999		2.0981e-05
0.02495		-0.0009999		1.71663e-05
0.0249		-0.0009999		1.90736e-05
0.02485		-0.0009999		1.90736e-05
0.0248		-0.0009999		1.71663e-05
0.02475		-0.0009999		1.71663e-05
0.0247		-0.0009999		1.71663e-05
0.02465		-0.0009999		1.90736e-05
0.0246		-0.0009999		1.90736e-05
0.02455		-0.0009999		1.71663e-05
0.0245		-0.0009999		1.90736e-05
0.0245		-0.0014999		9.5368e-06
0.02455		-0.0014999		1.02521e-05
0.0246		-0.0014999		1.13249e-05
0.02465		-0.0014999		1.06097e-05
0.0247		-0.0014999		1.40668e-05
0.02475		-0.0014999		1.32323e-05
0.0248		-0.0014999		1.35899e-05
0.02485		-0.0014999		1.4186e-05
0.0249		-0.0014999		1.60934e-05
0.02495		-0.0014999		1.53781e-05
0.025		-0.0014999		1.56165e-05
0.02505		-0.0014999		1.53781e-05
0.0251		-0.0014999		1.65702e-05
0.02515		-0.0014999		1.5855e-05
0.0252		-0.0014999		1.49012e-05
0.02525		-0.0014999		1.81199e-05
0.0253		-0.0014999		1.59742e-05
0.02535		-0.0014999		1.75239e-05
0.0254		-0.0014999		1.91928e-05
0.02545		-0.0014999		2.28883e-05
0.0255		-0.0014999		2.55109e-05
0.02555		-0.0014999		3.38557e-05
0.0256		-0.0014999		4.45845e-05
0.02565		-0.0014999		6.40159e-05
0.0257		-0.0014999		9.96594e-05
0.02575		-0.0014999		0.000147701
0.0258		-0.0014999		0.000205756
0.02585		-0.0014999		0.000251176
0.0259		-0.0014999		0.000272514
0.02595		-0.0014999		0.000274779
0.026		-0.0014999		0.000265958
0.02605		-0.0014999		0.000241996
0.0261		-0.0014999		0.000202776
0.02615		-0.0014999		0.000151754
0.0262		-0.0014999		9.85865e-05
0.02625		-0.0014999		5.54326e-05
0.0263		-0.0014999		3.2306e-05
0.02635		-0.0014999		2.34843e-05
0.0264		-0.0014999		2.01465e-05
0.02645		-0.0014999		1.99081e-05
0.0265		-0.0014999		1.76431e-05
0.02655		-0.0014999		1.65702e-05
0.0266		-0.0014999		1.83583e-05
0.02665		-0.0014999		1.56165e-05
0.0267		-0.0014999		1.75239e-05
0.02675		-0.0014999		1.66894e-05
0.0268		-0.0014999		1.60934e-05
0.02685		-0.0014999		1.54973e-05
0.0269		-0.0014999		1.53781e-05
0.02695		-0.0014999		1.46628e-05
0.027		-0.0014999		1.27555e-05
0.02705		-0.0014999		1.23978e-05
0.0271		-0.0014999		1.4186e-05
