Your comment line - do NOT delete this line
Col 0: Axis index
Col 1: S_path [m]
Col 2: Max voltage X-pos[m]
Col 3: Max voltage Y-pos[m]
Col 4: Max voltage [V]
Col 5: Full width half maximum (FWHM) [m]

Col 0	Col 1	Col 2	Col 3	Col 4	Col 5
0	0	0.026	0.0005	0.0275422	0.000228831684911
0	0.0	0.026	0.0005	0.0275422	0.000228831684911
1	0.0005	0.026	0.0	0.0360606	0.000305214861692
0	0.0	0.026	0.0005	0.0275422	0.000228831684911
1	0.000499375049943	0.026	0.0	0.0360606	0.000305214861692
2	0.00100114934371	0.02595	-0.0004999	0.00694659	0.000395219790535
0	0.0	0.026	0.0005	0.0275422	0.000228831684911
1	0.000499600112386	0.026	0.0	0.0360606	0.000305214861692
2	0.00100109962389	0.02595	-0.0004999	0.00694659	0.000395219790535
3	0.00150069973628	0.02595	-0.0009999	0.000949863	0.000412771832675
0	0.0	0.026	0.0005	0.0275422	0.000228831684911
1	0.00049977499951	0.026	0.0	0.0360606	0.000305214861692
2	0.00100094987689	0.02595	-0.0004999	0.00694659	0.000395219790535
3	0.0015007248764	0.02595	-0.0009999	0.000949863	0.000412771832675
4	0.00200049987591	0.02595	-0.0014999	0.000274779	0.000422871964111
0	0.0	0.026	0.0005	0.0275422	0.000228831684911
1	0.000499655265963	0.026	0.0	0.0360606	0.000305214861692
2	0.00100106698229	0.02595	-0.0004999	0.00694659	0.000395219790535
3	0.00150072224825	0.02595	-0.0009999	0.000949863	0.000412771832675
4	0.00200037751421	0.02595	-0.0014999	0.000274779	0.000422871964111
5	0.00250188916159	0.0259	-0.0019999	0.000167043	0.000430752137755
0	0.0	0.026	0.0005	0.0275422	0.000228831684911
1	0.000499843692525	0.026	0.0	0.0360606	0.000305214861692
2	0.00100083754848	0.02595	-0.0004999	0.00694659	0.000395219790535
3	0.001500681241	0.02595	-0.0009999	0.000949863	0.000412771832675
4	0.00200052493353	0.02595	-0.0014999	0.000274779	0.000422871964111
5	0.00250161875822	0.0259	-0.0019999	0.000167043	0.000430752137755
6	0.00300021231858	0.02595	-0.0024999	0.00018254	0.000532818299591
0	0.0	0.026	0.0005	0.0275422	0.000228831684911
1	0.000499828504729	0.026	0.0	0.0360606	0.000305214861692
2	0.00100086649349	0.02595	-0.0004999	0.00694659	0.000395219790535
3	0.00150069499822	0.02595	-0.0009999	0.000949863	0.000412771832675
