Your comment line - do NOT delete this line
Col 0: Axis index
Col 1: S_path [m]
Col 2: Max voltage X-pos[m]
Col 3: Max voltage Y-pos[m]
Col 4: Max voltage [V]
Col 5: Full width half maximum (FWHM) [m]

Col 0	Col 1	Col 2	Col 3	Col 4	Col 5
0	0	0.02775	0.0015	0.0526888	0.000254656348011
0	0.0	0.02775	0.0015	0.0526888	0.000254656348011
1	0.0002499	0.02775	0.0012501	0.0950704	0.000372395832938
0	0.0	0.02775	0.0015	0.0526888	0.000254656348011
1	0.000248650969536	0.02775	0.0012501	0.0950704	0.000372395832938
2	0.000502394249339	0.0278	0.0010001	0.0317385	0.000380901656378
0	0.0	0.02775	0.0015	0.0526888	0.000254656348011
1	0.000249849467564	0.02775	0.0012501	0.0950704	0.000372395832938
2	0.000500804375454	0.0278	0.0010001	0.0317385	0.000380901656378
3	0.000749748362251	0.02775	0.0007501	0.0124283	0.000387208863841
0	0.0	0.02775	0.0015	0.0526888	0.000254656348011
1	0.000249899999807	0.02775	0.0012501	0.0950704	0.000372395832938
2	0.000499901963275	0.0278	0.0010001	0.0317385	0.000380901656378
3	0.000749899999422	0.02775	0.0007501	0.0124283	0.000387208863841
4	0.000999899999229	0.02775	0.0005001	0.00542071	0.000393597617517
0	0.0	0.02775	0.0015	0.0526888	0.000254656348011
1	0.000249895902739	0.02775	0.0012501	0.0950704	0.000372395832938
2	0.00049960548697	0.0278	0.0010001	0.0317385	0.000380901656378
3	0.000749887704936	0.02775	0.0007501	0.0124283	0.000387208863841
4	0.000999883606035	0.02775	0.0005001	0.00542071	0.000393597617517
5	0.00124987950713	0.02775	0.0002501	0.00226928	0.000375099229361
0	0.0	0.02775	0.0015	0.0526888	0.000254656348011
1	0.000249893608465	0.02775	0.0012501	0.0950704	0.000372395832938
2	0.000499529610924	0.0278	0.0010001	0.0317385	0.000380901656378
3	0.000749880820278	0.02775	0.0007501	0.0124283	0.000387208863841
4	0.000999874426185	0.02775	0.0005001	0.00542071	0.000393597617517
5	0.00124986803209	0.02775	0.0002501	0.00226928	0.000375099229361
6	0.001499861638	0.02775	1e-07	0.000860218	0.000401238820684
0	0.0	0.02775	0.0015	0.0526888	0.000254656348011
