Your comment line - do NOT delete this line
Col 0: X-pos [m]
Col 1: Y-pos [m]
Col 2: Voltage [V]

Col 0		Col 1		Col 2
-0.001		0.005		0.000327768
-0.00095		0.005		0.000345411
-0.0009		0.005		0.00036818
-0.00085		0.005		0.000388803
-0.0008		0.005		0.000407042
-0.00075		0.005		0.00042385
-0.0007		0.005		0.000436725
-0.00065		0.005		0.00045407
-0.0006		0.005		0.000485541
-0.00055		0.005		0.000499967
-0.0005		0.005		0.000519041
-0.00045		0.005		0.000532392
-0.0004		0.005		0.000537518
-0.00035		0.005		0.000533048
-0.0003		0.005		0.000532869
-0.00025		0.005		0.000538114
-0.0002		0.005		0.000526492
-0.00015		0.005		0.000508253
-0.0001		0.005		0.000500683
-5e-05		0.005		0.000488523
0.0		0.005		0.000483157
5e-05		0.005		0.000473501
0.0001		0.005		0.000473501
0.00015		0.005		0.000469269
0.0002		0.005		0.000466408
0.00025		0.005		0.000469329
0.0003		0.005		0.000468912
0.00035		0.005		0.000466766
0.0004		0.005		0.000476839
0.00045		0.005		0.00049502
0.0005		0.005		0.00052828
0.00055		0.005		0.000545625
0.0006		0.005		0.000554089
0.00065		0.005		0.000545088
0.0007		0.005		0.000527028
0.00075		0.005		0.000504915
0.0008		0.005		0.000478508
0.00085		0.005		0.00044954
0.0009		0.005		0.000410797
0.00095		0.005		0.00038928
0.001		0.005		0.000382187
0.00105		0.005		0.000375571
0.0011		0.005		0.00037414
0.00115		0.005		0.000384392
0.0012		0.005		0.000387313
0.00125		0.005		0.000384333
0.0013		0.005		0.000383796
0.00135		0.005		0.000378968
0.0014		0.005		0.000382902
0.00145		0.005		0.000386061
0.0015		0.005		0.000382902
0.00155		0.005		0.000382664
0.0016		0.005		0.00038326
0.00165		0.005		0.000378968
0.0017		0.005		0.000373723
0.00175		0.005		0.000358762
0.0018		0.005		0.00034249
0.00185		0.005		0.000323476
0.0019		0.005		0.000304641
0.00195		0.005		0.000281038
0.002		0.005		0.000260295
0.00205		0.005		0.000239135
0.0021		0.005		0.000224174
0.00215		0.005		0.000205995
0.0022		0.005		0.000187398
0.00225		0.005		0.000177384
0.0023		0.005		0.000163854
0.00235		0.005		0.000152768
0.0024		0.005		0.000147284
0.0024		0.0045001		8.95266e-05
0.00235		0.0045001		9.05399e-05
0.0023		0.0045001		9.35798e-05
0.00225		0.0045001		9.9123e-05
0.0022		0.0045001		0.00010264
0.00215		0.0045001		0.000109256
0.0021		0.0045001		0.00011462
0.00205		0.0045001		0.000118554
0.002		0.0045001		0.000123561
0.00195		0.0045001		0.000130774
0.0019		0.0045001		0.000139357
0.00185		0.0045001		0.000145079
0.0018		0.0045001		0.000150741
0.00175		0.0045001		0.000156523
0.0017		0.0045001		0.000160516
0.00165		0.0045001		0.000165702
0.0016		0.0045001		0.000168086
0.00155		0.0045001		0.00017351
0.0015		0.0045001		0.0001781
0.00145		0.0045001		0.000185491
0.0014		0.0045001		0.000188173
0.00135		0.0045001		0.000189305
0.0013		0.0045001		0.000186981
0.00125		0.0045001		0.000185789
0.0012		0.0045001		0.000185789
0.00115		0.0045001		0.000176133
0.0011		0.0045001		0.00017047
0.00105		0.0045001		0.000165821
0.001		0.0045001		0.000160933
0.00095		0.0045001		0.000165642
0.0009		0.0045001		0.000179947
0.00085		0.0045001		0.000196696
0.0008		0.0045001		0.000216962
0.00075		0.0045001		0.000231267
0.0007		0.0045001		0.000237108
0.00065		0.0045001		0.000239492
0.0006		0.0045001		0.000243963
0.00055		0.0045001		0.000234307
0.0005		0.0045001		0.000219525
0.00045		0.0045001		0.000196517
0.0004		0.0045001		0.000175298
0.00035		0.0045001		0.000160516
0.0003		0.0045001		0.000155152
0.00025		0.0045001		0.000148953
0.0002		0.0045001		0.000141145
0.00015		0.0045001		0.000131191
0.0001		0.0045001		0.00012982
5e-05		0.0045001		0.000138463
0.0		0.0045001		0.00014633
-5e-05		0.0045001		0.000160993
-0.0001		0.0045001		0.000176669
-0.00015		0.0045001		0.000190438
-0.0002		0.0045001		0.000205577
-0.00025		0.0045001		0.000224174
-0.0003		0.0045001		0.000238479
-0.00035		0.0045001		0.000249745
-0.0004		0.0045001		0.000256004
-0.00045		0.0045001		0.000262083
-0.0005		0.0045001		0.000268461
-0.00055		0.0045001		0.000270071
-0.0006		0.0045001		0.000265362
-0.00065		0.0045001		0.000260951
-0.0007		0.0045001		0.000250401
-0.00075		0.0045001		0.000236631
-0.0008		0.0045001		0.000229717
-0.00085		0.0045001		0.000218333
-0.0009		0.0045001		0.000210763
-0.00095		0.0045001		0.000201763
-0.001		0.0045001		0.000188769
-0.001		0.0040001		8.98843e-05
-0.00095		0.0040001		9.7156e-05
-0.0009		0.0040001		0.00010705
-0.00085		0.0040001		0.000110806
-0.0008		0.0040001		0.000120402
-0.00075		0.0040001		0.00013137
-0.0007		0.0040001		0.000140668
-0.00065		0.0040001		0.000147046
-0.0006		0.0040001		0.000149251
-0.00055		0.0040001		0.000153423
-0.0005		0.0040001		0.000150622
-0.00045		0.0040001		0.000148238
-0.0004		0.0040001		0.000144483
-0.00035		0.0040001		0.000140191
