Your comment line - do NOT delete this line
Col 0: X-pos [m]
Col 1: Y-pos [m]
Col 2: Voltage [V]

Col 0		Col 1		Col 2
-0.0007		0.005		0.000542168
-0.00065		0.005		0.000578526
-0.0006		0.005		0.000607971
-0.00055		0.005		0.000632528
-0.0005		0.005		0.00065792
-0.00045		0.005		0.000683311
-0.0004		0.005		0.000696186
-0.00035		0.005		0.000703935
-0.0003		0.005		0.000716213
-0.00025		0.005		0.000722174
-0.0002		0.005		0.000734333
-0.00015		0.005		0.000747446
-0.0001		0.005		0.000758413
-5e-05		0.005		0.000773076
0.0		0.005		0.000782613
5e-05		0.005		0.000782017
0.0001		0.005		0.000779871
0.00015		0.005		0.000774864
0.0002		0.005		0.000749592
0.00025		0.005		0.000723366
0.0003		0.005		0.00069249
0.00035		0.005		0.000663999
0.0004		0.005		0.000652913
0.00045		0.005		0.000643615
0.0005		0.005		0.000639919
0.00055		0.005		0.000639681
0.0006		0.005		0.000646714
0.00065		0.005		0.000661854
0.0007		0.005		0.000684384
0.0007		0.0045001		0.000315787
0.00065		0.0045001		0.000301959
0.0006		0.0045001		0.000289442
0.00055		0.0045001		0.00028515
0.0005		0.0045001		0.000278832
0.00045		0.0045001		0.000278236
0.0004		0.0045001		0.000283243
0.00035		0.0045001		0.000287535
0.0003		0.0045001		0.000293972
0.00025		0.0045001		0.000309827
0.0002		0.0045001		0.000319125
0.00015		0.0045001		0.000336172
0.0001		0.0045001		0.00034857
5e-05		0.0045001		0.000349881
0.0		0.0045001		0.000347616
-5e-05		0.0045001		0.000350239
-0.0001		0.0045001		0.000344994
-0.00015		0.0045001		0.000352027
-0.0002		0.0045001		0.000349523
-0.00025		0.0045001		0.000356676
-0.0003		0.0045001		0.000354411
-0.00035		0.0045001		0.000349404
-0.0004		0.0045001		0.000343205
-0.00045		0.0045001		0.000334742
-0.0005		0.0045001		0.000325682
-0.00055		0.0045001		0.000312569
-0.0006		0.0045001		0.00030184
-0.00065		0.0045001		0.000285508
-0.0007		0.0045001		0.000275852
-0.0007		0.0040001		0.000205637
-0.00065		0.0040001		0.000209571
-0.0006		0.0040001		0.000209094
-0.00055		0.0040001		0.000213982
-0.0005		0.0040001		0.000226022
-0.00045		0.0040001		0.000227333
-0.0004		0.0040001		0.000217319
-0.00035		0.0040001		0.000222088
-0.0003		0.0040001		0.00023377
-0.00025		0.0040001		0.000229836
-0.0002		0.0040001		0.000230432
-0.00015		0.0040001		0.000242115
-0.0001		0.0040001		0.000235916
-5e-05		0.0040001		0.000234486
0.0		0.0040001		0.000231148
5e-05		0.0040001		0.000229479
0.0001		0.0040001		0.000221015
0.00015		0.0040001		0.00022924
0.0002		0.0040001		0.000218392
0.00025		0.0040001		0.000208975
0.0003		0.0040001		0.000197054
0.00035		0.0040001		0.000185967
0.0004		0.0040001		0.000189782
0.00045		0.0040001		0.000187994
0.0005		0.0040001		0.000198246
