Your comment line - do NOT delete this line
Col 0: X-pos [m]
Col 1: Y-pos [m]
Col 2: Voltage [V]

Col 0		Col 1		Col 2
0.0003		0.0159999		0.000223161
0.00035		0.0159999		0.000391962
0.0004		0.0159999		0.000678066
0.00045		0.0159999		0.00112439
0.0005		0.0159999		0.00172234
0.00055		0.0159999		0.00246145
0.0006		0.0159999		0.00343801
0.00065		0.0159999		0.00446513
0.0007		0.0159999		0.00534633
0.00075		0.0159999		0.00621036
0.0008		0.0159999		0.00679305
0.00085		0.0159999		0.00718883
0.0009		0.0159999		0.0071173
0.00095		0.0159999		0.00687793
0.001		0.0159999		0.00628474
0.00105		0.0159999		0.00545886
0.0011		0.0159999		0.00445083
0.00115		0.0159999		0.00333025
0.0012		0.0159999		0.00235845
0.00125		0.0159999		0.00151444
0.0013		0.0159999		0.000870708
0.00135		0.0155		0.000377657
0.0013		0.0155		0.000673298
0.00125		0.0155		0.00115109
0.0012		0.0155		0.00178433
0.00115		0.0155		0.00253965
0.0011		0.0155		0.00335981
0.00105		0.0155		0.00409415
0.001		0.0155		0.00477412
0.00095		0.0155		0.00524428
0.0009		0.0155		0.00541022
0.00085		0.0155		0.00537875
0.0008		0.0155		0.00518611
0.00075		0.0155		0.00472835
0.0007		0.0155		0.00407889
0.00065		0.0155		0.0034752
0.0006		0.0155		0.00275327
0.00055		0.0155		0.00204183
0.0005		0.0155		0.00145627
0.00045		0.0155		0.000961307
0.0004		0.0155		0.000582699
0.00035		0.0155		0.000330927
0.0004		0.015		0.000996597
0.00045		0.015		0.00157834
0.0005		0.015		0.00231077
0.00055		0.015		0.0032158
0.0006		0.015		0.00424388
0.00065		0.015		0.00522807
0.0007		0.015		0.00610736
0.00075		0.015		0.00690559
0.0008		0.015		0.0075188
0.00085		0.015		0.00798804
0.0009		0.015		0.00822359
0.00095		0.015		0.0081473
0.001		0.015		0.00785929
0.00105		0.015		0.00724319
0.0011		0.015		0.00634006
0.00115		0.015		0.00517085
0.0012		0.015		0.00387765
0.00125		0.015		0.00267698
0.0013		0.015		0.00169564
0.00135		0.015		0.000958446
0.0014		0.015		0.000500683
0.0014		0.0145		0.00028515
0.00135		0.0145		0.000536922
0.0013		0.0145		0.000998504
0.00125		0.0145		0.00169659
0.0012		0.0145		0.00265028
0.00115		0.0145		0.00373365
0.0011		0.0145		0.00478366
0.00105		0.0145		0.00563625
0.001		0.0145		0.00631335
0.00095		0.0145		0.00678638
0.0009		0.0145		0.00689891
0.00085		0.0145		0.00683406
0.0008		0.0145		0.00643924
0.00075		0.0145		0.00588897
0.0007		0.0145		0.00519755
0.00065		0.0145		0.00438026
0.0006		0.0145		0.00349809
0.00055		0.0145		0.00262643
0.0005		0.0145		0.0018797
0.00045		0.0145		0.00125123
0.0004		0.0145		0.000776295
0.0004		0.014		0.000526432
0.00045		0.014		0.000791553
0.0005		0.014		0.00113774
0.00055		0.014		0.00155354
0.0006		0.014		0.00205518
0.00065		0.014		0.0026312
0.0007		0.014		0.00317766
0.00075		0.014		0.00356962
0.0008		0.014		0.00380708
0.00085		0.014		0.00395492
0.0009		0.014		0.00404266
0.00095		0.014		0.00403216
0.001		0.014		0.00373842
0.00105		0.014		0.00326635
0.0011		0.014		0.00263406
0.00115		0.014		0.00207235
0.0012		0.014		0.00154115
0.00125		0.014		0.00105382
0.0013		0.014		0.000653271
0.00135		0.014		0.000353815
0.0014		0.014		0.000185014
0.0014		0.0135		0.000225068
0.00135		0.0135		0.000426294
0.0013		0.0135		0.00074387
0.00125		0.0135		0.0011778
0.0012		0.0135		0.00172711
0.00115		0.0135		0.00233652
0.0011		0.0135		0.00296213
0.00105		0.0135		0.00352193
0.001		0.0135		0.00397685
0.00095		0.0135		0.00425342
0.0009		0.0135		0.00429919
0.00085		0.0135		0.00413039
0.0008		0.0135		0.00380136
0.00075		0.0135		0.00334646
0.0007		0.0135		0.00280286
0.00065		0.0135		0.00221254
0.0006		0.0135		0.00166035
0.00055		0.0135		0.00118447
0.0005		0.0135		0.000823025
0.00045		0.0135		0.000555042
0.0004		0.0135		0.000359537
0.0004		0.013		0.000606541
0.00045		0.013		0.000955585
0.0005		0.013		0.00144196
0.00055		0.013		0.00205995
0.0006		0.013		0.00279714
0.00065		0.013		0.00364973
0.0007		0.013		0.00452426
0.00075		0.013		0.00535586
0.0008		0.013		0.00603107
0.00085		0.013		0.00652698
0.0009		0.013		0.00673774
0.00095		0.013		0.00672629
0.001		0.013		0.00644687
0.00105		0.013		0.00583747
0.0011		0.013		0.00500682
0.00115		0.013		0.00411037
0.0012		0.013		0.0031109
0.00125		0.013		0.00218774
0.0013		0.013		0.00137044
0.00135		0.013		0.000797275
0.0014		0.013		0.000424387
0.0014		0.0125		0.000430109
0.00135		0.0125		0.000641827
0.0013		0.0125		0.000969891
0.00125		0.0125		0.00142766
0.0012		0.0125		0.00197794
0.00115		0.0125		0.00258638
0.0011		0.0125		0.00318243
0.00105		0.0125		0.00368024
0.001		0.0125		0.00410083
0.00095		0.0125		0.0043135
0.0009		0.0125		0.00436309
0.00085		0.0125		0.00425628
0.0008		0.0125		0.00399783
0.00075		0.0125		0.00359823
0.0007		0.0125		0.00312521
0.00065		0.0125		0.00258066
0.0006		0.0125		0.00204469
0.00055		0.0125		0.00156117
0.0005		0.0125		0.00114442
0.00045		0.0125		0.000807766
0.0004		0.0125		0.000561718
0.0004		0.012		0.000571255
0.00045		0.012		0.000766758
0.0005		0.012		0.00105096
0.00055		0.012		0.00143052
0.0006		0.012		0.00189114
0.00065		0.012		0.00242235
0.0007		0.012		0.00295927
0.00075		0.012		0.00345422
0.0008		0.012		0.00388624
0.00085		0.012		0.00418571
0.0009		0.012		0.00438026
0.00095		0.012		0.00437453
0.001		0.012		0.00413802
0.00105		0.012		0.00373365
0.0011		0.012		0.00321771
0.00115		0.012		0.00260736
0.0012		0.012		0.00203611
0.00125		0.012		0.00152589
0.0013		0.012		0.00109292
0.00135		0.012		0.000777248
0.0014		0.012		0.000555996
0.0014		0.0115		0.000784878
0.00135		0.0115		0.00105763
0.0013		0.0115		0.0014763
0.00125		0.0115		0.00205709
0.0012		0.0115		0.00275423
0.00115		0.0115		0.00355817
0.0011		0.0115		0.00439838
0.00105		0.0115		0.00513843
0.001		0.0115		0.00577071
0.00095		0.0115		0.00626472
0.0009		0.0115		0.00657275
0.00085		0.0115		0.00660804
0.0008		0.0115		0.00634673
0.00075		0.0115		0.00581554
0.0007		0.0115		0.00513175
0.00065		0.0115		0.00435355
0.0006		0.0115		0.00354291
0.00055		0.0115		0.00274564
0.0005		0.0115		0.00203897
0.00045		0.0115		0.00148774
0.0004		0.0115		0.00106812
0.00035		0.011		0.00090218
0.0004		0.011		0.00111104
0.00045		0.011		0.00149155
0.0005		0.011		0.00204469
0.00055		0.011		0.00273229
0.0006		0.011		0.00360776
0.00065		0.011		0.00454238
0.0007		0.011		0.00543693
0.00075		0.011		0.00614074
0.0008		0.011		0.00661281
0.00085		0.011		0.00684169
0.0009		0.011		0.00692943
0.00095		0.011		0.00689414
0.001		0.011		0.00662807
0.00105		0.011		0.0061951
0.0011		0.011		0.00560573
0.00115		0.011		0.00481609
0.0012		0.011		0.00404552
0.00125		0.011		0.0032282
0.0013		0.011		0.00244047
0.00135		0.011		0.00178529
0.0014		0.0105		0.00068951
0.00135		0.0105		0.000938419
0.0013		0.0105		0.0012951
0.00125		0.0105		0.00175668
0.0012		0.0105		0.00227357
0.00115		0.0105		0.00281526
0.0011		0.0105		0.00333215
0.00105		0.0105		0.0037594
0.001		0.0105		0.00408462
0.00095		0.0105		0.00425532
0.0009		0.0105		0.00428203
0.00085		0.0105		0.00412467
0.0008		0.0105		0.00383188
0.00075		0.0105		0.0034094
0.0007		0.0105		0.00288774
0.00065		0.0105		0.00234891
0.0006		0.0105		0.00186539
0.00055		0.0105		0.00143243
0.0005		0.0105		0.00107194
0.00045		0.0105		0.000786785
0.0004		0.0105		0.000579838
0.0004		0.01		0.000588421
0.00045		0.01		0.000768665
0.0005		0.01		0.00104142
0.00055		0.01		0.00138951
0.0006		0.01		0.00180627
0.00065		0.01		0.00228311
0.0007		0.01		0.00278474
0.00075		0.01		0.00324823
0.0008		0.01		0.00361349
0.00085		0.01		0.00383855
0.0009		0.01		0.0039244
0.00095		0.01		0.00387479
0.001		0.01		0.00368883
0.00105		0.01		0.00335695
0.0011		0.01		0.00295354
0.00115		0.01		0.00249101
0.0012		0.01		0.0020075
0.00125		0.01		0.00154973
0.0013		0.01		0.00115872
0.00135		0.01		0.000845913
0.0014		0.01		0.000622753
0.0014		0.0095		0.00107766
0.00135		0.0095		0.00132657
0.0013		0.0095		0.00170232
0.00125		0.0095		0.00218965
0.0012		0.0095		0.00276758
0.00115		0.0095		0.00339986
0.0011		0.0095		0.00399211
0.00105		0.0095		0.00452712
0.001		0.0095		0.00494197
0.00095		0.0095		0.00517562
0.0009		0.0095		0.00527003
0.00085		0.0095		0.00517944
0.0008		0.0095		0.0048981
0.00075		0.0095		0.00440601
0.0007		0.0095		0.00380899
0.00065		0.0095		0.00317289
0.0006		0.0095		0.00256921
0.00055		0.0095		0.00199892
0.0005		0.0095		0.00149823
0.00045		0.0095		0.00109673
0.0004		0.0095		0.000813488
0.0004		0.009		0.000845913
0.00045		0.009		0.00117589
0.0005		0.009		0.00158311
0.00055		0.009		0.00202753
0.0006		0.009		0.00254346
0.00065		0.009		0.00315382
0.0007		0.009		0.00383951
0.00075		0.009		0.00455001
0.0008		0.009		0.00511459
0.00085		0.009		0.00544932
0.0009		0.009		0.00552657
0.00095		0.009		0.00551799
0.001		0.009		0.00525191
0.00105		0.009		0.00478652
0.0011		0.009		0.0041714
0.00115		0.009		0.00341131
0.0012		0.009		0.00266553
0.00125		0.009		0.00206567
0.0013		0.009		0.00156785
0.00135		0.009		0.00115586
0.0014		0.009		0.000841144
0.0014		0.0085		0.000768665
0.00135		0.0085		0.00110055
0.0013		0.0085		0.0015564
0.00125		0.0085		0.00212194
0.0012		0.0085		0.00273038
0.00115		0.0085		0.0033436
0.0011		0.0085		0.0039034
0.00105		0.0085		0.00433639
0.001		0.0085		0.00460342
0.00095		0.0085		0.00471881
0.0009		0.0085		0.00468734
0.00085		0.0085		0.00452808
0.0008		0.0085		0.00427917
0.00075		0.0085		0.0039368
0.0007		0.0085		0.00335218
0.00065		0.0085		0.00277235
0.0006		0.0085		0.00221349
0.00055		0.0085		0.00170899
0.0005		0.0085		0.00128461
0.00045		0.0085		0.000929836
0.0004		0.0085		0.000659946
0.00045		0.008		0.000711445
0.0005		0.008		0.000932697
0.00055		0.008		0.00120736
0.0006		0.008		0.00153256
0.00065		0.008		0.00188828
0.0007		0.008		0.00224783
0.00075		0.008		0.00259401
0.0008		0.008		0.00286867
0.00085		0.008		0.00301935
0.0009		0.008		0.00305559
0.00095		0.008		0.003006
0.001		0.008		0.00287725
0.00105		0.008		0.00264265
0.0011		0.008		0.00231649
0.00115		0.008		0.00193311
0.0012		0.008		0.00154115
