Your comment line - do NOT delete this line
Col 0: Axis index
Col 1: S_path [m]
Col 2: Max voltage X-pos[m]
Col 3: Max voltage Y-pos[m]
Col 4: Max voltage [V]
Col 5: Full width half maximum (FWHM) [m]

Col 0	Col 1	Col 2	Col 3	Col 4	Col 5
0	0	0.00085	0.0159999	0.00718883	0.000530514554589
0	0.0	0.00085	0.0159999	0.00718883	0.000530514554589
1	0.000502394277436	0.0009	0.0155	0.00541022	0.000543125116002
0	0.0	0.00085	0.0159999	0.00718883	0.000530514554589
1	0.00050177429424	0.0009	0.0155	0.00541022	0.000543125116002
2	0.00100114934371	0.0009	0.015	0.00822359	0.000597293073823
0	0.0	0.00085	0.0159999	0.00718883	0.000530514554589
1	0.000501175172369	0.0009	0.0155	0.00541022	0.000543125116002
2	0.00100095004538	0.0009	0.015	0.00822359	0.000597293073823
3	0.00150072491839	0.0009	0.0145	0.00689891	0.000565645808114
0	0.0	0.00085	0.0159999	0.00718883	0.000530514554589
1	0.000500800169813	0.0009	0.0155	0.00541022	0.000543125116002
2	0.00100070011985	0.0009	0.015	0.00822359	0.000597293073823
3	0.00150060006988	0.0009	0.0145	0.00689891	0.000565645808114
4	0.00200050001991	0.0009	0.014	0.00404266	0.000557862954859
0	0.0	0.00085	0.0159999	0.00718883	0.000530514554589
1	0.000500563371176	0.0009	0.0155	0.00541022	0.000543125116002
2	0.00100051233178	0.0009	0.015	0.00822359	0.000597293073823
3	0.00150046129239	0.0009	0.0145	0.00689891	0.000565645808114
4	0.002000410253	0.0009	0.014	0.00404266	0.000557862954859
5	0.00250035921361	0.0009	0.0135	0.00429919	0.000520428151468
0	0.0	0.00085	0.0159999	0.00718883	0.000530514554589
1	0.000500407077136	0.0009	0.0155	0.00541022	0.000543125116002
2	0.0010003783705	0.0009	0.015	0.00822359	0.000597293073823
3	0.00150034966387	0.0009	0.0145	0.00689891	0.000565645808114
4	0.00200032095724	0.0009	0.014	0.00404266	0.000557862954859
5	0.0025002922506	0.0009	0.0135	0.00429919	0.000520428151468
6	0.00300026354397	0.0009	0.013	0.00673774	0.000553123410692
0	0.0	0.00085	0.0159999	0.00718883	0.000530514554589
1	0.000500299342118	0.0009	0.0155	0.00541022	0.000543125116002
2	0.00100028197767	0.0009	0.015	0.00822359	0.000597293073823
3	0.00150026461322	0.0009	0.0145	0.00689891	0.000565645808114
4	0.00200024724877	0.0009	0.014	0.00404266	0.000557862954859
5	0.00250022988432	0.0009	0.0135	0.00429919	0.000520428151468
6	0.00300021251988	0.0009	0.013	0.00673774	0.000553123410692
7	0.00350019515543	0.0009	0.0125	0.00436309	0.000569775328975
0	0.0	0.00085	0.0159999	0.00718883	0.000530514554589
1	0.00050022224417	0.0009	0.0155	0.00541022	0.000543125116002
2	0.00100021113152	0.0009	0.015	0.00822359	0.000597293073823
3	0.00150020001887	0.0009	0.0145	0.00689891	0.000565645808114
4	0.00200018890621	0.0009	0.014	0.00404266	0.000557862954859
5	0.00250017779356	0.0009	0.0135	0.00429919	0.000520428151468
6	0.00300016668091	0.0009	0.013	0.00673774	0.000553123410692
7	0.00350015556826	0.0009	0.0125	0.00436309	0.000569775328975
8	0.0040001444556	0.0009	0.012	0.00438026	0.000557319818735
0	0.0	0.00085	0.0159999	0.00718883	0.000530514554589
1	0.000499900105732	0.0009	0.0155	0.00541022	0.000543125116002
2	0.000999900105731	0.0009	0.015	0.00822359	0.000597293073823
3	0.00149990010573	0.0009	0.0145	0.00689891	0.000565645808114
4	0.00199990010573	0.0009	0.014	0.00404266	0.000557862954859
5	0.00249990010573	0.0009	0.0135	0.00429919	0.000520428151468
6	0.00299990010573	0.0009	0.013	0.00673774	0.000553123410692
7	0.00349990010573	0.0009	0.0125	0.00436309	0.000569775328975
8	0.00399990010572	0.0009	0.012	0.00438026	0.000557319818735
9	0.00449989999999	0.00085	0.0115	0.00660804	0.000579952920806
0	0.0	0.00085	0.0159999	0.00718883	0.000530514554589
1	0.000499945248813	0.0009	0.0155	0.00541022	0.000543125116002
2	0.000999945042194	0.0009	0.015	0.00822359	0.000597293073823
3	0.00149994483557	0.0009	0.0145	0.00689891	0.000565645808114
4	0.00199994462895	0.0009	0.014	0.00404266	0.000557862954859
5	0.00249994442234	0.0009	0.0135	0.00429919	0.000520428151468
6	0.00299994421572	0.0009	0.013	0.00673774	0.000553123410692
7	0.0034999440091	0.0009	0.0125	0.00436309	0.000569775328975
8	0.00399994380248	0.0009	0.012	0.00438026	0.000557319818735
9	0.00449989814047	0.00085	0.0115	0.00660804	0.000579952920806
10	0.00499994338924	0.0009	0.011	0.00692943	0.000643435118601
0	0.0	0.00085	0.0159999	0.00718883	0.000530514554589
1	0.000499969444178	0.0009	0.0155	0.00541022	0.000543125116002
2	0.000999968955113	0.0009	0.015	0.00822359	0.000597293073823
3	0.00149996846605	0.0009	0.0145	0.00689891	0.000565645808114
4	0.00199996797698	0.0009	0.014	0.00404266	0.000557862954859
5	0.00249996748792	0.0009	0.0135	0.00429919	0.000520428151468
6	0.00299996699885	0.0009	0.013	0.00673774	0.000553123410692
7	0.00349996650979	0.0009	0.0125	0.00436309	0.000569775328975
8	0.00399996602072	0.0009	0.012	0.00438026	0.000557319818735
9	0.00449989559852	0.00085	0.0115	0.00660804	0.000579952920806
10	0.0049999650426	0.0009	0.011	0.00692943	0.000643435118601
11	0.00549996455353	0.0009	0.0105	0.00428203	0.00058325594584
0	0.0	0.00085	0.0159999	0.00718883	0.000530514554589
1	0.000499981742091	0.0009	0.0155	0.00541022	0.000543125116002
2	0.000999981062764	0.0009	0.015	0.00822359	0.000597293073823
3	0.00149998038344	0.0009	0.0145	0.00689891	0.000565645808114
4	0.00199997970411	0.0009	0.014	0.00404266	0.000557862954859
5	0.00249997902478	0.0009	0.0135	0.00429919	0.000520428151468
6	0.00299997834546	0.0009	0.013	0.00673774	0.000553123410692
7	0.00349997766613	0.0009	0.0125	0.00436309	0.000569775328975
8	0.0039999769868	0.0009	0.012	0.00438026	0.000557319818735
9	0.00449989388619	0.00085	0.0115	0.00660804	0.000579952920806
10	0.00499997562815	0.0009	0.011	0.00692943	0.000643435118601
11	0.00549997494882	0.0009	0.0105	0.00428203	0.00058325594584
12	0.00599997426949	0.0009	0.01	0.0039244	0.00058780918376
0	0.0	0.00085	0.0159999	0.00718883	0.000530514554589
1	0.00049998714267	0.0009	0.0155	0.00541022	0.000543125116002
2	0.000999986369757	0.0009	0.015	0.00822359	0.000597293073823
3	0.00149998559684	0.0009	0.0145	0.00689891	0.000565645808114
4	0.00199998482393	0.0009	0.014	0.00404266	0.000557862954859
5	0.00249998405102	0.0009	0.0135	0.00429919	0.000520428151468
6	0.00299998327811	0.0009	0.013	0.00673774	0.000553123410692
7	0.00349998250519	0.0009	0.0125	0.00436309	0.000569775328975
8	0.00399998173228	0.0009	0.012	0.00438026	0.000557319818735
9	0.00449989304394	0.00085	0.0115	0.00660804	0.000579952920806
10	0.00499998018645	0.0009	0.011	0.00692943	0.000643435118601
11	0.00549997941354	0.0009	0.0105	0.00428203	0.00058325594584
12	0.00599997864063	0.0009	0.01	0.0039244	0.00058780918376
13	0.00649997786772	0.0009	0.0095	0.00527003	0.000605287698609
0	0.0	0.00085	0.0159999	0.00718883	0.000530514554589
1	0.000499988491506	0.0009	0.0155	0.00541022	0.000543125116002
2	0.00099998769426	0.0009	0.015	0.00822359	0.000597293073823
3	0.00149998689701	0.0009	0.0145	0.00689891	0.000565645808114
4	0.00199998609977	0.0009	0.014	0.00404266	0.000557862954859
5	0.00249998530252	0.0009	0.0135	0.00429919	0.000520428151468
6	0.00299998450528	0.0009	0.013	0.00673774	0.000553123410692
7	0.00349998370803	0.0009	0.0125	0.00436309	0.000569775328975
8	0.00399998291078	0.0009	0.012	0.00438026	0.000557319818735
9	0.00449989282495	0.00085	0.0115	0.00660804	0.000579952920806
10	0.00499998131629	0.0009	0.011	0.00692943	0.000643435118601
11	0.00549998051905	0.0009	0.0105	0.00428203	0.00058325594584
12	0.0059999797218	0.0009	0.01	0.0039244	0.00058780918376
13	0.00649997892456	0.0009	0.0095	0.00527003	0.000605287698609
14	0.00699997812731	0.0009	0.009	0.00552657	0.000574063098653
0	0.0	0.00085	0.0159999	0.00718883	0.000530514554589
1	0.000500094599762	0.0009	0.0155	0.00541022	0.000543125116002
2	0.0010000906579	0.0009	0.015	0.00822359	0.000597293073823
3	0.00150008671604	0.0009	0.0145	0.00689891	0.000565645808114
4	0.00200008277418	0.0009	0.014	0.00404266	0.000557862954859
5	0.00250007883231	0.0009	0.0135	0.00429919	0.000520428151468
6	0.00300007489045	0.0009	0.013	0.00673774	0.000553123410692
7	0.00350007094859	0.0009	0.0125	0.00436309	0.000569775328975
8	0.00400006700673	0.0009	0.012	0.00438026	0.000557319818735
9	0.00449986452403	0.00085	0.0115	0.00660804	0.000579952920806
10	0.00500005912301	0.0009	0.011	0.00692943	0.000643435118601
11	0.00550005518114	0.0009	0.0105	0.00428203	0.00058325594584
12	0.00600005123928	0.0009	0.01	0.0039244	0.00058780918376
13	0.00650004729742	0.0009	0.0095	0.00527003	0.000605287698609
14	0.00700004335556	0.0009	0.009	0.00552657	0.000574063098653
15	0.00750023795453	0.00095	0.0085	0.00471881	0.00061694549125
0	0.0	0.00085	0.0159999	0.00718883	0.000530514554589
1	0.00050006863376	0.0009	0.0155	0.00541022	0.000543125116002
2	0.00100006568988	0.0009	0.015	0.00822359	0.000597293073823
3	0.00150006274601	0.0009	0.0145	0.00689891	0.000565645808114
4	0.00200005980213	0.0009	0.014	0.00404266	0.000557862954859
5	0.00250005685825	0.0009	0.0135	0.00429919	0.000520428151468
6	0.00300005391437	0.0009	0.013	0.00673774	0.000553123410692
7	0.0035000509705	0.0009	0.0125	0.00436309	0.000569775328975
8	0.00400004802662	0.0009	0.012	0.00438026	0.000557319818735
9	0.0044998735057	0.00085	0.0115	0.00660804	0.000579952920806
10	0.00500004213887	0.0009	0.011	0.00692943	0.000643435118601
11	0.00550003919499	0.0009	0.0105	0.00428203	0.00058325594584
12	0.00600003625111	0.0009	0.01	0.0039244	0.00058780918376
13	0.00650003330724	0.0009	0.0095	0.00527003	0.000605287698609
14	0.00700003036336	0.0009	0.009	0.00552657	0.000574063098653
15	0.00750019899653	0.00095	0.0085	0.00471881	0.00061694549125
16	0.0080000244756	0.0009	0.008	0.00305559	0.000602448287738
0	0.0	0.00085	0.0159999	0.00718883	0.000530514554589
1	0.000500047406093	0.0009	0.0155	0.00541022	0.000543125116002
2	0.00100004516672	0.0009	0.015	0.00822359	0.000597293073823
3	0.00150004292736	0.0009	0.0145	0.00689891	0.000565645808114
4	0.00200004068799	0.0009	0.014	0.00404266	0.000557862954859
5	0.00250003844862	0.0009	0.0135	0.00429919	0.000520428151468
6	0.00300003620925	0.0009	0.013	0.00673774	0.000553123410692
7	0.00350003396988	0.0009	0.0125	0.00436309	0.000569775328975
8	0.00400003173052	0.0009	0.012	0.00438026	0.000557319818735
9	0.00449987984614	0.00085	0.0115	0.00660804	0.000579952920806
10	0.00500002725178	0.0009	0.011	0.00692943	0.000643435118601
11	0.00550002501241	0.0009	0.0105	0.00428203	0.00058325594584
12	0.00600002277304	0.0009	0.01	0.0039244	0.00058780918376
13	0.00650002053368	0.0009	0.0095	0.00527003	0.000605287698609
