Your comment line - do NOT delete this line
Col 0: X-pos [m]
Col 1: Y-pos [m]
Col 2: Voltage [V]

Col 0		Col 1		Col 2
0.0305		-0.0019999		0.0219728
0.03045		-0.0019999		0.0209962
0.0304		-0.0019999		0.0179445
0.03035		-0.0019999		0.0150147
0.0303		-0.0019999		0.0122071
0.03025		-0.0019999		0.0104981
0.0302		-0.0019999		0.0109254
0.03015		-0.0019999		0.0131226
0.0301		-0.0019999		0.0162965
0.03005		-0.0019999		0.0228273
0.03		-0.0019999		0.0391848
0.02995		-0.0019999		0.0652471
0.0299		-0.0019999		0.105713
0.02985		-0.0019999		0.165589
0.0298		-0.0019999		0.29468
0.02975		-0.0019999		0.412783
0.0297		-0.0019999		0.492373
0.02965		-0.0019999		0.506474
0.0296		-0.0019999		0.492434
0.02955		-0.0019999		0.446047
0.0295		-0.0019999		0.383181
0.02945		-0.0019999		0.314699
0.0294		-0.0019999		0.226563
0.02935		-0.0019999		0.134217
0.0293		-0.0019999		0.0900273
0.02925		-0.0019999		0.0709844
0.0292		-0.0019999		0.0575564
0.02915		-0.0019999		0.0458987
0.0291		-0.0019999		0.036072
0.02905		-0.0019999		0.0271608
0.029		-0.0019999		0.0189821
0.029		-0.0022499		0.0218507
0.02905		-0.0022499		0.027588
0.0291		-0.0022499		0.0352786
0.02915		-0.0022499		0.0435183
0.0292		-0.0022499		0.0532229
0.02925		-0.0022499		0.065064
0.0293		-0.0022499		0.0863042
0.02935		-0.0022499		0.134278
0.0294		-0.0022499		0.220704
0.02945		-0.0022499		0.313234
0.0295		-0.0022499		0.373781
0.02955		-0.0022499		0.415773
0.0296		-0.0022499		0.413881
0.02965		-0.0022499		0.4079
0.0297		-0.0022499		0.384768
0.02975		-0.0022499		0.319582
0.0298		-0.0022499		0.224244
0.02985		-0.0022499		0.117615
0.0299		-0.0022499		0.0764775
0.02995		-0.0022499		0.0572512
0.03		-0.0022499		0.0434573
0.03005		-0.0022499		0.0317385
0.0301		-0.0022499		0.025757
0.03015		-0.0022499		0.0199586
0.0302		-0.0022499		0.0164186
0.03025		-0.0022499		0.0167238
0.0303		-0.0022499		0.0175172
0.03035		-0.0022499		0.0193483
0.0304		-0.0022499		0.0224611
0.03045		-0.0022499		0.0251466
0.0305		-0.0022499		0.025879
0.0305		-0.0024999		0.0252076
0.03045		-0.0024999		0.0307618
0.0304		-0.0024999		0.0372317
0.03035		-0.0024999		0.0402834
0.0303		-0.0024999		0.0393679
0.03025		-0.0024999		0.0388186
0.0302		-0.0024999		0.0468752
0.03015		-0.0024999		0.0523074
0.0301		-0.0024999		0.055176
0.03005		-0.0024999		0.0584719
0.03		-0.0024999		0.0623782
0.02995		-0.0024999		0.068604
0.0299		-0.0024999		0.0826421
0.02985		-0.0024999		0.0939336
0.0298		-0.0024999		0.109437
0.02975		-0.0024999		0.165223
0.0297		-0.0024999		0.194398
0.02965		-0.0024999		0.197938
0.0296		-0.0024999		0.173219
0.02955		-0.0024999		0.140748
0.0295		-0.0024999		0.11731
0.02945		-0.0024999		0.106019
0.0294		-0.0024999		0.105225
0.02935		-0.0024999		0.107056
0.0293		-0.0024999		0.092896
0.02925		-0.0024999		0.0640264
0.0292		-0.0024999		0.0491335
0.02915		-0.0024999		0.0396121
0.0291		-0.0024999		0.0322878
0.02905		-0.0024999		0.0266725
0.029		-0.0024999		0.0220948
