Your comment line - do NOT delete this line
Col 0: Axis index
Col 1: S_path [m]
Col 2: Max voltage X-pos[m]
Col 3: Max voltage Y-pos[m]
Col 4: Max voltage [V]
Col 5: Full width half maximum (FWHM) [m]

Col 0	Col 1			Col 2	Col 3	Col 4	Col 5
0	0			-0.0005	0.0001	1.49013e-07	0.000298863809486
0	0.0			-0.0005	0.0001	1.49013e-07	0.000298863809486
1	0.000502483840536			-0.001	5.01e-05	4.39586e-07	-0.000215792764019
0	0.0			-0.0005	0.0001	1.49013e-07	0.000298863809486
1	0.000496856200646			-0.001	5.01e-05	4.39586e-07	-0.000215792764019
2	0.00149810535			0.0	1e-07	1.86265e-07	0.0123846916137
0	0.0			-0.0005	0.0001	1.49013e-07	0.000298863809486
1	0.000500839447971			-0.001	5.01e-05	4.39586e-07	-0.000215792764019
2	0.00149974015866			0.0	1e-07	1.86265e-07	0.0123846916137
3	0.00250049732024			-0.001	-5e-05	4.54487e-07	0.000173537705796
0	0.0			-0.0005	0.0001	1.49013e-07	0.000298863809486
1	0.000496592270771			-0.001	5.01e-05	4.39586e-07	-0.000215792764019
2	0.00149783405368			0.0	1e-07	1.86265e-07	0.0123846916137
3	0.00249369179212			-0.001	-5e-05	4.54487e-07	0.000173537705796
4	0.00449348064638			0.001	-9.99e-05	2.98025e-08	-0.000237714014378
