Your comment line - do NOT delete this line
Col 0: X-pos [m]
Col 1: Y-pos [m]
Col 2: Voltage [V]

Col 0		Col 1		Col 2
0.001		9.99e-05		-1.71364e-07
0.0005		9.99e-05		5.96051e-08
0.0		9.99e-05		-1.26661e-07
-0.0005		9.99e-05		-1.04309e-07
-0.001		9.99e-05		-7.45063e-08
-0.0005		5e-05		-1.34111e-07
0.0		5e-05		-1.63914e-07
0.0005		5e-05		-1.34111e-07
0.001		5e-05		-2.98025e-08
0.0015		5e-05		1.71364e-07
0.0025		0.0		2.45871e-07
0.002		0.0		2.3842e-07
0.0015		0.0		-2.53322e-07
0.001		0.0		2.53322e-07
0.0005		0.0		1.56463e-07
0.0		-5e-05		2.60772e-07
0.0005		-5e-05		1.41562e-07
0.001		-5e-05		2.98025e-08
0.0015		-5e-05		-1.93716e-07
0.002		-5e-05		-7.45064e-09
0.001		-0.0001		2.08617e-07
0.0005		-0.0001		7.45063e-08
0.0		-0.0001		1.63914e-07
-0.0005		-0.0001		2.98025e-08
-0.001		-0.0001		-7.45064e-09
