Your comment line - do NOT delete this line
Col 0: X-pos [m]
Col 1: Y-pos [m]
Col 2: Voltage [V]

Col 0		Col 1		Col 2
0.034		-0.003		0.0011406
0.0339		-0.003		0.00125886
0.0338		-0.003		0.00151826
0.0337		-0.003		0.00187302
0.0336		-0.003		0.00233079
0.0335		-0.003		0.00286485
0.0334		-0.003		0.00345995
0.0333		-0.003		0.00414279
0.0332		-0.003		0.00491336
0.0331		-0.003		0.00579074
0.033		-0.003		0.00682071
0.0329		-0.003		0.00792319
0.0328		-0.003		0.00901037
0.0327		-0.003		0.0101357
0.0326		-0.003		0.0114174
0.0325		-0.003		0.0130158
0.0324		-0.003		0.0149804
0.0323		-0.003		0.0173532
0.0322		-0.003		0.0202829
0.0321		-0.003		0.0237924
0.032		-0.003		0.0276071
0.0319		-0.003		0.0314791
0.0318		-0.003		0.0351756
0.0317		-0.003		0.0385783
0.0316		-0.003		0.0416186
0.0315		-0.003		0.0444949
0.0314		-0.003		0.0470927
0.0313		-0.003		0.0491755
0.0312		-0.003		0.050545
0.0311		-0.003		0.0514414
0.031		-0.003		0.0522768
0.0309		-0.003		0.0528109
0.0308		-0.003		0.0518305
0.0307		-0.003		0.0497515
0.0306		-0.003		0.0477564
0.0305		-0.003		0.0454371
0.0304		-0.003		0.0428736
0.0303		-0.003		0.0400126
0.0302		-0.003		0.0368655
0.0301		-0.003		0.0337527
0.03		-0.003		0.0307885
0.0299		-0.003		0.0278817
0.0298		-0.003		0.0250398
0.0297		-0.003		0.022339
0.0296		-0.003		0.0198518
0.0295		-0.003		0.0176355
0.0294		-0.003		0.0156709
0.0293		-0.003		0.0139542
0.0292		-0.003		0.0124436
0.0291		-0.003		0.0111046
0.029		-0.003		0.00988394
0.0289		-0.003		0.0087586
0.0288		-0.003		0.00774768
0.0287		-0.003		0.00685123
0.0286		-0.003		0.00607684
0.0285		-0.003		0.00536349
0.0284		-0.003		0.004715
0.0283		-0.003		0.0040932
0.0282		-0.003		0.00348665
0.0281		-0.003		0.00288011
0.028		-0.003		0.00232317
0.0279		-0.0034999		0.00170899
0.028		-0.0034999		0.00203325
0.0281		-0.0034999		0.0025139
0.0282		-0.0034999		0.00305559
0.0283		-0.0034999		0.00361635
0.0284		-0.0034999		0.0041962
0.0285		-0.0034999		0.00481418
0.0286		-0.0034999		0.00546268
0.0287		-0.0034999		0.0061951
0.0288		-0.0034999		0.00699618
0.0289		-0.0034999		0.00785834
0.029		-0.0034999		0.00881964
0.0291		-0.0034999		0.00989157
0.0292		-0.0034999		0.0110741
0.0293		-0.0034999		0.0124055
0.0294		-0.0034999		0.0139161
0.0295		-0.0034999		0.0156671
0.0296		-0.0034999		0.0176545
0.0297		-0.0034999		0.0198861
0.0298		-0.0034999		0.0223237
0.0299		-0.0034999		0.0248948
0.03		-0.0034999		0.0275041
0.0301		-0.0034999		0.0301706
0.0302		-0.0034999		0.0329211
0.0303		-0.0034999		0.0357783
0.0304		-0.0034999		0.0383837
0.0305		-0.0034999		0.0407298
