Your comment line - do NOT delete this line
Col 0: Axis index
Col 1: S_path [m]
Col 2: Max voltage X-pos[m]
Col 3: Max voltage Y-pos[m]
Col 4: Max voltage [V]
Col 5: Full width half maximum (FWHM) [m]

Col 0	Col 1	Col 2	Col 3	Col 4	Col 5
0	0	0.0309	-0.003	0.0528109	0.00218255510256
0	0.0	0.0309	-0.003	0.0528109	0.00218255510256
1	0.0004999	0.0309	-0.0034999	0.0474818	0.0021962880924
0	0.0	0.0309	-0.003	0.0528109	0.00218255510256
1	0.0004999	0.0309	-0.0034999	0.0474818	0.0021962880924
2	0.001	0.0309	-0.004	0.0434229	0.00228460660994
0	0.0	0.0309	-0.003	0.0528109	0.00218255510256
1	0.000498998282276	0.0309	-0.0034999	0.0474818	0.0021962880924
2	0.000998196203793	0.0309	-0.004	0.0434229	0.00228460660994
3	0.00150319810059	0.031	-0.0044999	0.035496	0.00233714507055
0	0.0	0.0309	-0.003	0.0528109	0.00218255510256
1	0.000499799487048	0.0309	-0.0034999	0.0474818	0.0021962880924
2	0.000999798933884	0.0309	-0.004	0.0434229	0.00228460660994
3	0.00150160364363	0.031	-0.0044999	0.035496	0.00233714507055
4	0.00199949788787	0.0309	-0.0049999	0.0284654	0.00235608535309
0	0.0	0.0309	-0.003	0.0528109	0.00218255510256
1	0.00049976838402	0.0309	-0.0034999	0.0474818	0.0021962880924
2	0.000999736715383	0.0309	-0.004	0.0434229	0.00228460660994
3	0.00149721054081	0.031	-0.0044999	0.035496	0.00233714507055
4	0.00199937345709	0.0309	-0.0049999	0.0284654	0.00235608535309
5	0.00250153637338	0.0308	-0.0054999	0.0282289	0.00236707823261
0	0.0	0.0309	-0.003	0.0528109	0.00218255510256
1	0.000499887143485	0.0309	-0.0034999	0.0474818	0.0021962880924
2	0.000999974281827	0.0309	-0.004	0.0434229	0.00228460660994
3	0.00150057861207	0.031	-0.0044999	0.035496	0.00233714507055
4	0.00199984856623	0.0309	-0.0049999	0.0284654	0.00235608535309
5	0.00249911852038	0.0308	-0.0054999	0.0282289	0.00236707823261
6	0.00300054003481	0.031	-0.0059999	0.0232049	0.00246475590085
0	0.0	0.0309	-0.003	0.0528109	0.00218255510256
1	0.000499578709306	0.0309	-0.0034999	0.0474818	0.0021962880924
2	0.00099935729007	0.0309	-0.004	0.0434229	0.00228460660994
3	0.0015025206985	0.031	-0.0044999	0.035496	0.00233714507055
4	0.00199861464441	0.0309	-0.0049999	0.0284654	0.00235608535309
5	0.00249470859032	0.0308	-0.0054999	0.0282289	0.00236707823261
6	0.00300155663361	0.031	-0.0059999	0.0232049	0.00246475590085
7	0.00350481997777	0.0311	-0.0064999	0.0194932	0.00232788404222
0	0.0	0.0309	-0.003	0.0528109	0.00218255510256
1	0.000499352930639	0.0309	-0.0034999	0.0474818	0.0021962880924
2	0.000998905642406	0.0309	-0.004	0.0434229	0.00228460660994
3	0.00150293566356	0.031	-0.0044999	0.035496	0.00233714507055
4	0.00199771139425	0.0309	-0.0049999	0.0284654	0.00235608535309
5	0.00249248712494	0.0308	-0.0054999	0.0282289	0.00236707823261
6	0.00300129412717	0.031	-0.0059999	0.0232049	0.00246475590085
7	0.00350542403889	0.0311	-0.0064999	0.0194932	0.00232788404222
8	0.00400487686009	0.0311	-0.0069999	0.0143395	0.00219048321049
0	0.0	0.0309	-0.003	0.0528109	0.00218255510256
1	0.000498979055336	0.0309	-0.0034999	0.0474818	0.0021962880924
2	0.000998157742221	0.0309	-0.004	0.0434229	0.00228460660994
3	0.00150320402233	0.031	-0.0044999	0.035496	0.00233714507055
4	0.00199621566867	0.0309	-0.0049999	0.0284654	0.00235608535309
5	0.00248922731501	0.0308	-0.0054999	0.0282289	0.00236707823261
6	0.00300044063566	0.031	-0.0059999	0.0232049	0.00246475590085
7	0.00350558673154	0.0311	-0.0064999	0.0194932	0.00232788404222
8	0.00400466560266	0.0311	-0.0069999	0.0143395	0.00219048321049
9	0.00450981169854	0.0312	-0.0074999	0.0100327	0.00217703478592
0	0.0	0.0309	-0.003	0.0528109	0.00218255510256
1	0.00049882772244	0.0309	-0.0034999	0.0474818	0.0021962880924
2	0.000997855015883	0.0309	-0.004	0.0434229	0.00228460660994
3	0.00150322900999	0.031	-0.0044999	0.035496	0.00233714507055
4	0.00199561024626	0.0309	-0.0049999	0.0284654	0.00235608535309
5	0.00248799148254	0.0308	-0.0054999	0.0282289	0.00236707823261
6	0.00300001153382	0.031	-0.0059999	0.0232049	0.00246475590085
7	0.00350548531343	0.0311	-0.0064999	0.0194932	0.00232788404222
8	0.00400441282137	0.0311	-0.0069999	0.0143395	0.00219048321049
9	0.00450988660098	0.0312	-0.0074999	0.0100327	0.00217703478592
10	0.00500881410892	0.0312	-0.0079999	0.00773624	0.00219360286107
0	0.0	0.0309	-0.003	0.0528109	0.00218255510256
1	0.000498819695461	0.0309	-0.0034999	0.0474818	0.0021962880924
2	0.000997838958715	0.0309	-0.004	0.0434229	0.00228460660994
3	0.00150322935617	0.031	-0.0044999	0.035496	0.00233714507055
4	0.00199557813353	0.0309	-0.0049999	0.0284654	0.00235608535309
5	0.00248792691089	0.0308	-0.0054999	0.0282289	0.00236707823261
6	0.00299998779424	0.031	-0.0059999	0.0232049	0.00246475590085
7	0.0035054779756	0.0311	-0.0064999	0.0194932	0.00232788404222
8	0.00400439745495	0.0311	-0.0069999	0.0143395	0.00219048321049
9	0.00450988763631	0.0312	-0.0074999	0.0100327	0.00217703478592
10	0.00500880711566	0.0312	-0.0079999	0.00773624	0.00219360286107
11	0.00550772659502	0.0312	-0.0084999	0.0064812	0.00219082458487
0	0.0	0.0309	-0.003	0.0528109	0.00218255510256
1	0.000498884914194	0.0309	-0.0034999	0.0474818	0.0021962880924
2	0.000997969422272	0.0309	-0.004	0.0434229	0.00228460660994
3	0.00150322382013	0.031	-0.0044999	0.035496	0.00233714507055
4	0.0019958390476	0.0309	-0.0049999	0.0284654	0.00235608535309
5	0.00248845427508	0.0308	-0.0054999	0.0282289	0.00236707823261
6	0.00300017795353	0.031	-0.0059999	0.0232049	0.00246475590085
7	0.00350553214833	0.0311	-0.0064999	0.0194932	0.00232788404222
8	0.00400451685947	0.0311	-0.0069999	0.0143395	0.00219048321049
9	0.00450987105426	0.0312	-0.0074999	0.0100327	0.00217703478592
10	0.0050088557654	0.0312	-0.0079999	0.00773624	0.00219360286107
11	0.00550784047653	0.0312	-0.0084999	0.0064812	0.00219082458487
12	0.00600692498461	0.0312	-0.009	0.00559238	0.00218192857281
0	0.0	0.0309	-0.003	0.0528109	0.00218255510256
1	0.00049898072776	0.0309	-0.0034999	0.0474818	0.0021962880924
2	0.000998161087738	0.0309	-0.004	0.0434229	0.00228460660994
