Your comment line - do NOT delete this line
Col 0: Axis index
Col 1: S_path [m]
Col 2: Max voltage X-pos[m]
Col 3: Max voltage Y-pos[m]
Col 4: Max voltage [V]
Col 5: Full width half maximum (FWHM) [m]

Col 0	Col 1	Col 2	Col 3	Col 4	Col 5
0	0	0.03085	-0.013	0.00669959	0.000370646565699
0	0.0	0.03085	-0.013	0.00669959	0.000370646565699
1	0.0004999	0.03085	-0.0134999	0.00326969	0.000362920708175
0	0.0	0.03085	-0.013	0.00669959	0.000370646565699
1	0.000499275091978	0.03085	-0.0134999	0.00326969	0.000362920708175
2	0.00100114934357	0.0308	-0.0139999	0.00241853	0.000379253917274
0	0.0	0.03085	-0.013	0.00669959	0.000370646565699
1	0.000499500184669	0.03085	-0.0134999	0.00326969	0.000362920708175
2	0.00100109962773	0.0308	-0.0139999	0.00241853	0.000379253917274
3	0.00150069973242	0.0308	-0.0144999	0.00153757	0.000392587500795
0	0.0	0.03085	-0.013	0.00669959	0.000370646565699
1	0.000499675044757	0.03085	-0.0134999	0.00326969	0.000362920708175
2	0.00100094987656	0.0308	-0.0139999	0.00241853	0.000379253917274
3	0.00150072487632	0.0308	-0.0144999	0.00153757	0.000392587500795
4	0.00200049987608	0.0308	-0.0149999	0.001889	0.000386725476677
0	0.0	0.03085	-0.013	0.00669959	0.000370646565699
1	0.000499769396564	0.03085	-0.0134999	0.00326969	0.000362920708175
2	0.00100078162525	0.0308	-0.0139999	0.00241853	0.000379253917274
3	0.00150065099569	0.0308	-0.0144999	0.00153757	0.000392587500795
4	0.00200052036613	0.0308	-0.0149999	0.001889	0.000386725476677
5	0.00250038973657	0.0308	-0.0154999	0.00143934	0.000399619874337
0	0.0	0.03085	-0.013	0.00669959	0.000370646565699
1	0.000499820282854	0.03085	-0.0134999	0.00326969	0.000362920708175
2	0.00100063344805	0.0308	-0.0139999	0.00241853	0.000379253917274
3	0.00150055371496	0.0308	-0.0144999	0.00153757	0.000392587500795
4	0.00200047398186	0.0308	-0.0149999	0.001889	0.000386725476677
5	0.00250039424877	0.0308	-0.0154999	0.00143934	0.000399619874337
6	0.00300031451568	0.0308	-0.0159999	0.00109173	0.000422809963467
0	0.0	0.03085	-0.013	0.00669959	0.000370646565699
1	0.000499848983683	0.03085	-0.0134999	0.00326969	0.000362920708175
2	0.00100051226745	0.0308	-0.0139999	0.00241853	0.000379253917274
3	0.00150046124092	0.0308	-0.0144999	0.00153757	0.000392587500795
4	0.0020004102144	0.0308	-0.0149999	0.001889	0.000386725476677
5	0.00250035918788	0.0308	-0.0154999	0.00143934	0.000399619874337
6	0.00300030816136	0.0308	-0.0159999	0.00109173	0.000422809963467
7	0.00350035712463	0.0308	-0.0165	0.000785593	0.000414932725328
0	0.0	0.03085	-0.013	0.00669959	0.000370646565699
1	0.000499815986907	0.03085	-0.0134999	0.00326969	0.000362920708175
2	0.00100064859673	0.0308	-0.0139999	0.00241853	0.000379253917274
3	0.00150056456683	0.0308	-0.0144999	0.00153757	0.000392587500795
4	0.00200048053693	0.0308	-0.0149999	0.001889	0.000386725476677
5	0.00250039650703	0.0308	-0.0154999	0.00143934	0.000399619874337
6	0.00300031247713	0.0308	-0.0159999	0.00109173	0.000422809963467
7	0.00350032843043	0.0308	-0.0165	0.000785593	0.000414932725328
8	0.00400106105706	0.03075	-0.0169999	0.000500564	0.000457827615679
0	0.0	0.03085	-0.013	0.00669959	0.000370646565699
1	0.000499805994246	0.03085	-0.0134999	0.00326969	0.000362920708175
2	0.00100068158672	0.0308	-0.0139999	0.00241853	0.000379253917274
3	0.00150058756216	0.0308	-0.0144999	0.00153757	0.000392587500795
4	0.0020004935376	0.0308	-0.0149999	0.001889	0.000386725476677
5	0.00250039951304	0.0308	-0.0154999	0.00143934	0.000399619874337
6	0.00300030548848	0.0308	-0.0159999	0.00109173	0.000422809963467
7	0.00350031144512	0.0308	-0.0165	0.000785593	0.000414932725328
8	0.00400108705639	0.03075	-0.0169999	0.000500564	0.000457827615679
9	0.00450099303183	0.03075	-0.0174999	0.000294449	0.000584125919417
0	0.0	0.03085	-0.013	0.00669959	0.000370646565699
1	0.000499808912632	0.03085	-0.0134999	0.00326969	0.000362920708175
2	0.00100067225604	0.0308	-0.0139999	0.00241853	0.000379253917274
3	0.00150058115045	0.0308	-0.0144999	0.00153757	0.000392587500795
4	0.00200049004486	0.0308	-0.0149999	0.001889	0.000386725476677
5	0.00250039893927	0.0308	-0.0154999	0.00143934	0.000399619874337
6	0.00300030783368	0.0308	-0.0159999	0.00109173	0.000422809963467
7	0.00350031670987	0.0308	-0.0165	0.000785593	0.000414932725328
8	0.0040010800715	0.03075	-0.0169999	0.000500564	0.000457827615679
9	0.00450098896591	0.03075	-0.0174999	0.000294449	0.000584125919417
10	0.00500089786033	0.03075	-0.0179999	0.000229062	0.000609273813855
0	0.0	0.03085	-0.013	0.00669959	0.000370646565699
1	0.000499817381387	0.03085	-0.0134999	0.00326969	0.000362920708175
2	0.00100064374741	0.0308	-0.0139999	0.00241853	0.000379253917274
3	0.00150056111227	0.0308	-0.0144999	0.00153757	0.000392587500795
4	0.00200047847713	0.0308	-0.0149999	0.001889	0.000386725476677
5	0.00250039584199	0.0308	-0.0154999	0.00143934	0.000399619874337
6	0.00300031320685	0.0308	-0.0159999	0.00109173	0.000422809963467
7	0.00350033055518	0.0308	-0.0165	0.000785593	0.000414932725328
8	0.00400105693773	0.03075	-0.0169999	0.000500564	0.000457827615679
9	0.00450097430259	0.03075	-0.0174999	0.000294449	0.000584125919417
10	0.00500089166745	0.03075	-0.0179999	0.000229062	0.000609273813855
11	0.00550080903231	0.03075	-0.0184999	0.000252159	0.000634966842286
0	0.0	0.03085	-0.013	0.00669959	0.000370646565699
1	0.000499827491436	0.03085	-0.0134999	0.00326969	0.000362920708175
2	0.00100060654226	0.0308	-0.0139999	0.00241853	0.000379253917274
3	0.00150053401919	0.0308	-0.0144999	0.00153757	0.000392587500795
4	0.00200046149612	0.0308	-0.0149999	0.001889	0.000386725476677
