Your comment line - do NOT delete this line
Col 0: Axis index
Col 1: S_path [m]
Col 2: Max voltage X-pos[m]
Col 3: Max voltage Y-pos[m]
Col 4: Max voltage [V]
Col 5: Full width half maximum (FWHM) [m]

Col 0	Col 1	Col 2	Col 3	Col 4	Col 5
0	0	-0.00015	-0.0005	0.00179244	0.000127907079886
0	0.0	-0.00015	-0.0005	0.00179244	0.000127907079886
1	0.000672606876266	0.0003	-0.0009999	0.000289919	0.00113460162717
0	0.0	-0.00015	-0.0005	0.00179244	0.000127907079886
1	0.000661422301034	0.0003	-0.0009999	0.000289919	0.00113460162717
2	0.00116604827796	0.00045	-0.0014999	0.000274183	0.0022279841969
0	0.0	-0.00015	-0.0005	0.00179244	0.000127907079886
1	0.000580317390291	0.0003	-0.0009999	0.000289919	0.00113460162717
2	0.00110028611547	0.00045	-0.0014999	0.000274183	0.0022279841969
3	0.00151951048366	0.0001	-0.0019999	0.000483992	0.00198393035581
0	0.0	-0.00015	-0.0005	0.00179244	0.000127907079886
1	0.00052808671587	0.0003	-0.0009999	0.000289919	0.00113460162717
2	0.00103677762403	0.00045	-0.0014999	0.000274183	0.0022279841969
3	0.00151297587164	0.0001	-0.0019999	0.000483992	0.00198393035581
4	0.00201201877025	0.0001	-0.0025	0.000338795	0.00198002586153
0	0.0	-0.00015	-0.0005	0.00179244	0.000127907079886
1	0.000514446711896	0.0003	-0.0009999	0.000289919	0.00113460162717
2	0.00101911483498	0.00045	-0.0014999	0.000274183	0.0022279841969
3	0.00150731873377	0.0001	-0.0019999	0.000483992	0.00198393035581
4	0.00200714753535	0.0001	-0.0025	0.000338795	0.00198002586153
5	0.0025084228678	0.00015	-0.0029999	0.000240088	0.00195131148386
0	0.0	-0.00015	-0.0005	0.00179244	0.000127907079886
1	0.000508089869751	0.0003	-0.0009999	0.000289919	0.00113460162717
2	0.00101076346577	0.00045	-0.0014999	0.000274183	0.0022279841969
3	0.00150424330041	0.0001	-0.0019999	0.000483992	0.00198393035581
4	0.00200425875111	0.0001	-0.0025	0.000338795	0.00198002586153
5	0.00250499361176	0.00015	-0.0029999	0.000240088	0.00195131148386
6	0.00300490907937	0.00015	-0.0034999	0.000214816	0.0020275657655
0	0.0	-0.00015	-0.0005	0.00179244	0.000127907079886
1	0.000504786136364	0.0003	-0.0009999	0.000289919	0.00113460162717
2	0.00100639495559	0.00045	-0.0014999	0.000274183	0.0022279841969
3	0.00150254158953	0.0001	-0.0019999	0.000483992	0.00198393035581
4	0.00200261174721	0.0001	-0.0025	0.000338795	0.00198002586153
5	0.00250302813535	0.00015	-0.0029999	0.000240088	0.00195131148386
6	0.00300299829899	0.00015	-0.0034999	0.000214816	0.0020275657655
7	0.00350306845666	0.00015	-0.004	0.000175239	0.00204985846094
0	0.0	-0.00015	-0.0005	0.00179244	0.000127907079886
1	0.00050593628565	0.0003	-0.0009999	0.000289919	0.00113460162717
2	0.00100791793194	0.00045	-0.0014999	0.000274183	0.0022279841969
3	0.00150314186118	0.0001	-0.0019999	0.000483992	0.00198393035581
4	0.00200319618322	0.0001	-0.0025	0.000338795	0.00198002586153
5	0.00250372629524	0.00015	-0.0029999	0.000240088	0.00195131148386
6	0.00300368062641	0.00015	-0.0034999	0.000214816	0.0020275657655
7	0.00350373494845	0.00015	-0.004	0.000175239	0.00204985846094
8	0.00400426506046	0.0002	-0.0044999	0.000195266	0
0	0.0	-0.00015	-0.0005	0.00179244	0.000127907079886
1	0.000503737697484	0.0003	-0.0009999	0.000289919	0.00113460162717
2	0.00100500469056	0.00045	-0.0014999	0.000274183	0.0022279841969
3	0.00150198718242	0.0001	-0.0019999	0.000483992	0.00198393035581
4	0.00200206882146	0.0001	-0.0025	0.000338795	0.00198002586153
5	0.00250237891797	0.00015	-0.0029999	0.000240088	0.00195131148386
6	0.00300236056068	0.00015	-0.0034999	0.000214816	0.0020275657655
7	0.00350244219972	0.00015	-0.004	0.000175239	0.00204985846094
8	0.00400275229623	0.0002	-0.0044999	0.000195266	0
9	0.00450230548882	0.00015	-0.0049999	0.000172378	0.00230662881238
0	0.0	-0.00015	-0.0005	0.00179244	0.000127907079886
1	0.000502365108431	0.0003	-0.0009999	0.000289919	0.00113460162717
2	0.00100318177858	0.00045	-0.0014999	0.000274183	0.0022279841969
3	0.00150125105412	0.0001	-0.0019999	0.000483992	0.00198393035581
4	0.00200134350437	0.0001	-0.0025	0.000338795	0.00198002586153
5	0.00250151069711	0.00015	-0.0029999	0.000240088	0.00195131148386
6	0.00300150314887	0.00015	-0.0034999	0.000214816	0.0020275657655
7	0.00350159559913	0.00015	-0.004	0.000175239	0.00204985846094
8	0.00400176279187	0.0002	-0.0044999	0.000195266	0
9	0.00450148050417	0.00015	-0.0049999	0.000172378	0.00230662881238
10	0.00500147295594	0.00015	-0.0054999	0.000129462	0.00214351453
0	0.0	-0.00015	-0.0005	0.00179244	0.000127907079886
1	0.000499741194716	0.0003	-0.0009999	0.000289919	0.00113460162717
2	0.000999688238871	0.00045	-0.0014999	0.000274183	0.0022279841969
3	0.00149981169877	0.0001	-0.0019999	0.000483992	0.00198393035581
4	0.00199991166764	0.0001	-0.0025	0.000338795	0.00198002586153
5	0.00249979399495	0.00015	-0.0029999	0.000240088	0.00195131148386
6	0.00299979396383	0.00015	-0.0034999	0.000214816	0.0020275657655
7	0.0034998939327	0.00015	-0.004	0.000175239	0.00204985846094
8	0.00399977626001	0.0002	-0.0044999	0.000195266	0
9	0.00449979387046	0.00015	-0.0049999	0.000172378	0.00230662881238
10	0.00499979383934	0.00015	-0.0054999	0.000129462	0.00214351453
11	0.00549981144979	0.0001	-0.0059999	0.00011468	0.00201576487264
0	0.0	-0.00015	-0.0005	0.00179244	0.000127907079886
1	0.000496656918877	0.0003	-0.0009999	0.000289919	0.00113460162717
2	0.000995567303045	0.00045	-0.0014999	0.000274183	0.0022279841969
3	0.00149806680032	0.0001	-0.0019999	0.000483992	0.00198393035581
4	0.00199815391585	0.0001	-0.0025	0.000338795	0.00198002586153
5	0.00249768212522	0.00015	-0.0029999	0.000240088	0.00195131148386
6	0.00299766924332	0.00015	-0.0034999	0.000214816	0.0020275657655
7	0.00349775635884	0.00015	-0.004	0.000175239	0.00204985846094
