Your comment line - do NOT delete this line
Col 0: X-pos [m]
Col 1: Y-pos [m]
Col 2: Voltage [V]

Col 0		Col 1		Col 2
0.064		-0.0029999		0.000850681
0.0639		-0.0029999		0.000909809
0.0638		-0.0029999		0.00101281
0.0637		-0.0029999		0.00111199
0.0636		-0.0029999		0.00121117
0.0635		-0.0029999		0.00131417
0.0634		-0.0029999		0.00143052
0.0633		-0.0029999		0.00156594
0.0632		-0.0029999		0.00172234
0.0631		-0.0029999		0.00193406
0.063		-0.0029999		0.00215341
0.0629		-0.0029999		0.00237657
0.0628		-0.0029999		0.00252534
0.0627		-0.0029999		0.00263979
0.0626		-0.0029999		0.00288774
0.0625		-0.0029999		0.00325395
0.0624		-0.0029999		0.00376703
0.0623		-0.0029999		0.00441363
0.0622		-0.0029999		0.00516322
0.0621		-0.0029999		0.00612071
0.062		-0.0029999		0.00742534
0.0619		-0.0029999		0.00920874
0.0618		-0.0029999		0.0114766
0.0617		-0.0029999		0.0139752
0.0616		-0.0029999		0.0164987
0.0615		-0.0029999		0.018654
0.0614		-0.0029999		0.0204431
0.0613		-0.0029999		0.021906
0.0612		-0.0029999		0.0230371
0.0611		-0.0029999		0.0238878
0.061		-0.0029999		0.0243493
0.0609		-0.0029999		0.0245172
0.0608		-0.0029999		0.0243894
0.0607		-0.0029999		0.0238286
0.0606		-0.0029999		0.0227929
0.0605		-0.0029999		0.0211488
0.0604		-0.0029999		0.0187932
0.0603		-0.0029999		0.0159551
0.0602		-0.0029999		0.0130826
0.0601		-0.0029999		0.0104676
0.06		-0.0029999		0.00845152
0.0599		-0.0029999		0.00692371
0.0598		-0.0029999		0.00580409
0.0597		-0.0029999		0.00502208
0.0596		-0.0029999		0.00445178
0.0595		-0.0029999		0.00395206
0.0594		-0.0029999		0.00348283
0.0593		-0.0029999		0.00296403
0.0592		-0.0029999		0.0024891
0.0591		-0.0029999		0.00216104
0.059		-0.0029999		0.0019188
0.0589		-0.0029999		0.00174332
0.0588		-0.0029999		0.00162507
0.0587		-0.0029999		0.00155068
0.0586		-0.0029999		0.00150109
0.0585		-0.0029999		0.00145913
0.0584		-0.0029999		0.00141145
