Your comment line - do NOT delete this line
Col 0: Axis index
Col 1: S_path [m]
Col 2: Max voltage X-pos[m]
Col 3: Max voltage Y-pos[m]
Col 4: Max voltage [V]
Col 5: Full width half maximum (FWHM) [m]

Col 0	Col 1	Col 2	Col 3	Col 4	Col 5
0	0	0.03	0.005	0.00274946	0
0	0.0	0.03	0.005	0.00274946	0
1	0.000522015325446	0.02985	0.0045	0.00562957	0.000503310629112
0	0.0	0.03	0.005	0.00274946	0
1	0.000512577135863	0.02985	0.0045	0.00562957	0.000503310629112
2	0.00100488716808	0.0299	0.0040001	0.00592855	0.00045738129756
0	0.0	0.03	0.005	0.00274946	0
1	0.000498454102428	0.02985	0.0045	0.00562957	0.000503310629112
2	0.000998835167889	0.0299	0.0040001	0.00592855	0.00045738129756
3	0.00149982296769	0.03	0.0035001	0.00372268	0.000445074685962
0	0.0	0.03	0.005	0.00274946	0
1	0.000491812159403	0.02985	0.0045	0.00562957	0.000503310629112
2	0.000993595767282	0.0299	0.0040001	0.00592855	0.00045738129756
3	0.00149799707869	0.03	0.0035001	0.00372268	0.000445074685962
4	0.0019998805597	0.03005	0.0030001	0.00261976	0.000472104798491
0	0.0	0.03	0.005	0.00274946	0
1	0.000488500990766	0.02985	0.0045	0.00562957	0.000503310629112
2	0.00099065597952	0.0299	0.0040001	0.00592855	0.00045738129756
3	0.00149634917185	0.03	0.0035001	0.00372268	0.000445074685962
4	0.00199860392387	0.03005	0.0030001	0.00261976	0.000472104798491
5	0.00250085867588	0.0301	0.0025001	0.00357915	0.000440037060445
0	0.0	0.03	0.005	0.00274946	0
1	0.000484610458139	0.02985	0.0045	0.00562957	0.000503310629112
2	0.00098697816299	0.0299	0.0040001	0.00592855	0.00045738129756
3	0.00149390968029	0.03	0.0035001	0.00372268	0.000445074685962
4	0.00199637698576	0.03005	0.0030001	0.00261976	0.000472104798491
5	0.00249884429123	0.0301	0.0025001	0.00357915	0.000440037060445
6	0.00300577580853	0.0302	0.0020001	0.00244333	0.000427614878007
0	0.0	0.03	0.005	0.00274946	0
1	0.000484403232087	0.02985	0.0045	0.00562957	0.000503310629112
2	0.000986776162052	0.0299	0.0040001	0.00592855	0.00045738129756
3	0.00149376600529	0.03	0.0035001	0.00372268	0.000445074685962
4	0.00199623852629	0.03005	0.0030001	0.00261976	0.000472104798491
5	0.0024987110473	0.0301	0.0025001	0.00357915	0.000440037060445
6	0.00300570089053	0.0302	0.0020001	0.00244333	0.000427614878007
7	0.00350365608931	0.0302	0.0015001	0.00195409	0.000427506892738
