Your comment line - do NOT delete this line
Col 0: X-pos [m]
Col 1: Y-pos [m]
Col 2: Voltage [V]

Col 0		Col 1		Col 2
-0.005		0.0		5.2918e-06
-0.0049		0.0		5.43523e-06
-0.0048		0.0		5.90089e-06
-0.0047		0.0		5.97539e-06
-0.0046		0.0		6.37214e-06
-0.0045		0.0		6.51742e-06
-0.0044		0.0		6.59938e-06
-0.0043		0.0		6.96632e-06
-0.0042		0.0		8.00012e-06
-0.0041		0.0		7.89022e-06
-0.004		0.0		7.59031e-06
-0.0039		0.0		9.2574e-06
-0.0038		0.0		8.97056e-06
-0.0037		0.0		9.74169e-06
-0.0036		0.0		9.6169e-06
-0.0035		0.0		1.10046e-05
-0.0034		0.0		1.13324e-05
-0.0033		0.0		1.18204e-05
-0.0032		0.0		1.1962e-05
-0.0031		0.0		1.21948e-05
-0.003		0.0		1.33757e-05
-0.0029		0.0		1.34949e-05
-0.0028		0.0		1.38544e-05
-0.0027		0.0		1.35247e-05
-0.0026		0.0		1.36737e-05
-0.0025		0.0		1.39308e-05
-0.0024		0.0		1.45622e-05
-0.0023		0.0		1.42307e-05
-0.0022		0.0		1.44076e-05
-0.0021		0.0		1.41617e-05
-0.002		0.0		1.34316e-05
-0.0019		0.0		1.45678e-05
-0.0018		0.0		1.41096e-05
-0.0017		0.0		1.38023e-05
-0.0016		0.0		1.38544e-05
-0.0015		0.0		1.38619e-05
-0.0014		0.0		1.40612e-05
-0.0013		0.0		1.37874e-05
-0.0012		0.0		1.35173e-05
-0.0011		0.0		1.23382e-05
-0.001		0.0		1.19955e-05
-0.0009		0.0		1.2165e-05
-0.0008		0.0		1.06954e-05
-0.0007		0.0		1.15689e-05
-0.0006		0.0		1.09729e-05
-0.0005		0.0		1.06302e-05
-0.0004		0.0		1.03061e-05
-0.0003		0.0		9.63738e-06
-0.0002		0.0		9.54984e-06
-0.0001		0.0		8.99105e-06
0.0		0.0		8.78802e-06
0.0001		0.0		8.47137e-06
0.0002		0.0		7.58286e-06
0.0003		0.0		7.32954e-06
0.0004		0.0		6.51184e-06
0.0005		0.0		6.95515e-06
0.0006		0.0		7.01289e-06
0.0007		0.0		6.50439e-06
0.0008		0.0		6.56213e-06
0.0009		0.0		5.70717e-06
0.001		0.0		5.68855e-06
0.0011		0.0		5.80589e-06
0.0012		0.0		6.23617e-06
0.0013		0.0		5.79472e-06
0.0014		0.0		5.1875e-06
0.0015		0.0		5.12603e-06
0.0016		0.0		5.42405e-06
0.0017		0.0		4.76281e-06
0.0018		0.0		4.63615e-06
0.0019		0.0		4.45361e-06
0.002		0.0		4.73674e-06
0.002		-0.0001999		4.24313e-06
0.0019		-0.0001999		4.14255e-06
0.0018		-0.0001999		4.00844e-06
0.0017		-0.0001999		4.0103e-06
0.0016		-0.0001999		3.91158e-06
0.0015		-0.0001999		4.68458e-06
0.0014		-0.0001999		4.21706e-06
0.0013		-0.0001999		4.43871e-06
0.0012		-0.0001999		5.22475e-06
0.0011		-0.0001999		5.68668e-06
0.001		-0.0001999		5.22475e-06
0.0009		-0.0001999		4.97515e-06
0.0008		-0.0001999		6.06294e-06
0.0007		-0.0001999		5.64757e-06
0.0006		-0.0001999		5.38307e-06
0.0005		-0.0001999		6.08715e-06
0.0004		-0.0001999		5.81707e-06
0.0003		-0.0001999		6.38518e-06
0.0002		-0.0001999		6.47086e-06
0.0001		-0.0001999		7.54002e-06
0.0		-0.0001999		6.61987e-06
-0.0001		-0.0001999		7.21964e-06
-0.0002		-0.0001999		8.20315e-06
-0.0003		-0.0001999		8.41363e-06
-0.0004		-0.0001999		8.36892e-06
-0.0005		-0.0001999		9.2425e-06
-0.0006		-0.0001999		9.72865e-06
-0.0007		-0.0001999		1.01999e-05
-0.0008		-0.0001999		1.06395e-05
-0.0009		-0.0001999		1.13622e-05
-0.001		-0.0001999		1.11517e-05
-0.0011		-0.0001999		1.20924e-05
-0.0012		-0.0001999		1.17478e-05
-0.0013		-0.0001999		1.20029e-05
-0.0014		-0.0001999		1.22414e-05
-0.0015		-0.0001999		1.23252e-05
-0.0016		-0.0001999		1.24444e-05
-0.0017		-0.0001999		1.30069e-05
-0.0018		-0.0001999		1.21277e-05
-0.0019		-0.0001999		1.226e-05
-0.002		-0.0001999		1.26605e-05
-0.0021		-0.0001999		1.26735e-05
-0.0022		-0.0001999		1.30144e-05
-0.0023		-0.0001999		1.30926e-05
-0.0024		-0.0001999		1.28914e-05
-0.0025		-0.0001999		1.30572e-05
-0.0026		-0.0001999		1.27555e-05
-0.0027		-0.0001999		1.24518e-05
-0.0028		-0.0001999		1.22712e-05
-0.0029		-0.0001999		1.23755e-05
-0.003		-0.0001999		1.17533e-05
-0.0031		-0.0001999		1.16286e-05
-0.0032		-0.0001999		1.12486e-05
-0.0033		-0.0001999		1.05203e-05
-0.0034		-0.0001999		9.58709e-06
-0.0035		-0.0001999		9.21829e-06
-0.0036		-0.0001999		9.09722e-06
-0.0037		-0.0001999		8.9184e-06
-0.0038		-0.0001999		8.38196e-06
-0.0039		-0.0001999		7.75425e-06
-0.004		-0.0001999		6.96073e-06
-0.0041		-0.0001999		6.86201e-06
-0.0042		-0.0001999		6.77819e-06
-0.0043		-0.0001999		6.62173e-06
-0.0044		-0.0001999		6.6385e-06
-0.0045		-0.0001999		6.1896e-06
-0.0046		-0.0001999		5.4464e-06
-0.0047		-0.0001999		5.33278e-06
-0.0048		-0.0001999		5.49669e-06
-0.0049		-0.0001999		4.86526e-06
-0.005		-0.0001999		4.49087e-06
-0.005		-0.0003999		4.16304e-06
-0.0049		-0.0003999		4.10902e-06
-0.0048		-0.0003999		5.53395e-06
-0.0047		-0.0003999		4.93604e-06
-0.0046		-0.0003999		4.87085e-06
-0.0045		-0.0003999		5.82266e-06
-0.0044		-0.0003999		6.1449e-06
-0.0043		-0.0003999		5.73698e-06
-0.0042		-0.0003999		6.02382e-06
-0.0041		-0.0003999		6.41498e-06
-0.004		-0.0003999		6.81359e-06
-0.0039		-0.0003999		7.10602e-06
-0.0038		-0.0003999		7.56237e-06
-0.0037		-0.0003999		7.9312e-06
-0.0036		-0.0003999		7.70396e-06
-0.0035		-0.0003999		8.28138e-06
-0.0034		-0.0003999		9.73238e-06
-0.0033		-0.0003999		9.34309e-06
-0.0032		-0.0003999		9.82924e-06
-0.0031		-0.0003999		1.03899e-05
-0.003		-0.0003999		1.03377e-05
-0.0029		-0.0003999		1.08928e-05
-0.0028		-0.0003999		1.05873e-05
-0.0027		-0.0003999		1.19527e-05
-0.0026		-0.0003999		1.14292e-05
-0.0025		-0.0003999		1.17459e-05
-0.0024		-0.0003999		1.2422e-05
-0.0023		-0.0003999		1.2083e-05
-0.0022		-0.0003999		1.15522e-05
-0.0021		-0.0003999		1.15615e-05
-0.002		-0.0003999		1.19135e-05
-0.0019		-0.0003999		1.16099e-05
-0.0018		-0.0003999		1.20812e-05
-0.0017		-0.0003999		1.13138e-05
-0.0016		-0.0003999		1.22116e-05
-0.0015		-0.0003999		1.1487e-05
-0.0014		-0.0003999		1.19489e-05
-0.0013		-0.0003999		1.13287e-05
-0.0012		-0.0003999		1.11461e-05
-0.0011		-0.0003999		1.0971e-05
-0.001		-0.0003999		1.06842e-05
-0.0009		-0.0003999		9.74542e-06
-0.0008		-0.0003999		9.75101e-06
-0.0007		-0.0003999		9.60199e-06
-0.0006		-0.0003999		8.70234e-06
-0.0005		-0.0003999		8.74518e-06
-0.0004		-0.0003999		8.48441e-06
-0.0003		-0.0003999		7.93865e-06
-0.0002		-0.0003999		7.10788e-06
-0.0001		-0.0003999		7.16935e-06
0.0		-0.0003999		6.72045e-06
0.0001		-0.0003999		5.82638e-06
0.0002		-0.0003999		5.92138e-06
0.0003		-0.0003999		6.45409e-06
0.0004		-0.0003999		5.47807e-06
0.0005		-0.0003999		5.59355e-06
0.0006		-0.0003999		5.4166e-06
0.0007		-0.0003999		4.56351e-06
0.0008		-0.0003999		5.4613e-06
0.0009		-0.0003999		4.59704e-06
0.001		-0.0003999		4.66409e-06
0.0011		-0.0003999		4.86526e-06
0.0012		-0.0003999		4.08481e-06
0.0013		-0.0003999		4.97143e-06
0.0014		-0.0003999		4.02893e-06
0.0015		-0.0003999		3.55767e-06
0.0016		-0.0003999		4.3195e-06
0.0017		-0.0003999		3.96188e-06
0.0018		-0.0003999		3.96933e-06
0.0019		-0.0003999		3.83894e-06
0.002		-0.0003999		3.83894e-06
0.002		-0.0005999		4.18167e-06
0.0019		-0.0005999		3.75138e-06
0.0018		-0.0005999		3.81845e-06
0.0017		-0.0005999		3.59306e-06
0.0016		-0.0005999		3.31552e-06
0.0015		-0.0005999		3.5558e-06
0.0014		-0.0005999		3.33974e-06
0.0013		-0.0005999		3.52973e-06
0.0012		-0.0005999		4.16118e-06
0.0011		-0.0005999		3.19073e-06
0.001		-0.0005999		4.09785e-06
0.0009		-0.0005999		4.39028e-06
0.0008		-0.0005999		3.98795e-06
0.0007		-0.0005999		4.98074e-06
0.0006		-0.0005999		5.16142e-06
0.0005		-0.0005999		5.2769e-06
0.0004		-0.0005999		5.50228e-06
0.0003		-0.0005999		5.63081e-06
0.0002		-0.0005999		5.66061e-06
0.0001		-0.0005999		6.25293e-06
0.0		-0.0005999		6.69065e-06
-0.0001		-0.0005999		6.3889e-06
-0.0002		-0.0005999		6.83221e-06
-0.0003		-0.0005999		7.84552e-06
-0.0004		-0.0005999		7.88836e-06
-0.0005		-0.0005999		8.17893e-06
-0.0006		-0.0005999		8.13795e-06
-0.0007		-0.0005999		9.16613e-06
-0.0008		-0.0005999		9.27976e-06
-0.0009		-0.0005999		9.49955e-06
-0.001		-0.0005999		9.3822e-06
-0.0011		-0.0005999		1.01515e-05
-0.0012		-0.0005999		1.03526e-05
-0.0013		-0.0005999		1.03675e-05
-0.0014		-0.0005999		1.07345e-05
-0.0015		-0.0005999		1.1284e-05
-0.0016		-0.0005999		1.11759e-05
-0.0017		-0.0005999		1.11778e-05
-0.0018		-0.0005999		1.17329e-05
-0.0019		-0.0005999		1.09375e-05
-0.002		-0.0005999		1.16602e-05
-0.0021		-0.0005999		1.0362e-05
-0.0022		-0.0005999		1.07401e-05
-0.0023		-0.0005999		1.08444e-05
-0.0024		-0.0005999		1.02055e-05
-0.0025		-0.0005999		1.07457e-05
-0.0026		-0.0005999		1.0701e-05
-0.0027		-0.0005999		1.02446e-05
-0.0028		-0.0005999		9.90561e-06
-0.0029		-0.0005999		8.83272e-06
-0.003		-0.0005999		9.47533e-06
