Your comment line - do NOT delete this line
Col 0: Axis index
Col 1: S_path [m]
Col 2: Max voltage X-pos[m]
Col 3: Max voltage Y-pos[m]
Col 4: Max voltage [V]
Col 5: Full width half maximum (FWHM) [m]

Col 0	Col 1	Col 2	Col 3	Col 4	Col 5
0	0	0.0007	-0.001	0.00035459	0
0	0.0	0.0007	-0.001	0.00035459	0
1	0.000316196157472	0.001	-0.0010999	0.000355544	0
0	0.0	0.0007	-0.001	0.00035459	0
1	0.000311660509293	0.001	-0.0010999	0.000355544	0
2	0.000352691639098	0.0009	-0.0011999	0.000341894	0
0	0.0	0.0007	-0.001	0.00035459	0
1	0.000264149907862	0.001	-0.0010999	0.000355544	0
2	0.000386531543354	0.0009	-0.0011999	0.000341894	0
3	0.000605565381077	0.0007	-0.0013	0.000313165	0.00351579729212
0	0.0	0.0007	-0.001	0.00035459	0
1	0.000272748053674	0.001	-0.0010999	0.000355544	0
2	0.000282142684621	0.0009	-0.0011999	0.000341894	0
3	0.000338529970506	0.0007	-0.0013	0.000313165	0.00351579729212
4	0.000611353275979	0.001	-0.0014	0.000290753	0.00354476873156
0	0.0	0.0007	-0.001	0.00035459	0
1	0.000275988531853	0.001	-0.0010999	0.000355544	0
2	0.000392944184162	0.0009	-0.0011999	0.000341894	0
3	0.000608149925727	0.0007	-0.0013	0.000313165	0.00351579729212
4	0.000884119733293	0.001	-0.0014	0.000290753	0.00354476873156
5	0.00247452713584	-0.0006	-0.0014999	0.000286939	0.00350506486574
0	0.0	0.0007	-0.001	0.00035459	0
1	0.0002696929258	0.001	-0.0010999	0.000355544	0
2	0.00038969109109	0.0009	-0.0011999	0.000341894	0
3	0.000607128964931	0.0007	-0.0013	0.000313165	0.00351579729212
4	0.000876799309693	0.001	-0.0014	0.000290753	0.00354476873156
5	0.00245803180664	-0.0006	-0.0014999	0.000286939	0.00350506486574
6	0.00248061284442	-0.0006	-0.0015999	0.000277938	0
0	0.0	0.0007	-0.001	0.00035459	0
1	0.000263716890106	0.001	-0.0010999	0.000355544	0
2	0.000386274392504	0.0009	-0.0011999	0.000341894	0
3	0.000605419989581	0.0007	-0.0013	0.000313165	0.00351579729212
4	0.000869110884284	0.001	-0.0014	0.000290753	0.00354476873156
5	0.00244007388041	-0.0006	-0.0014999	0.000286939	0.00350506486574
6	0.00246606928353	-0.0006	-0.0015999	0.000277938	0
7	0.00249206468666	-0.0006	-0.0016999	0.000258865	0
0	0.0	0.0007	-0.001	0.00035459	0
1	0.000259128001333	0.001	-0.0010999	0.000355544	0
