Your comment line - do NOT delete this line
Col 0: X-pos [m]
Col 1: Y-pos [m]
Col 2: Voltage [V]

Col 0		Col 1		Col 2
0.0		-0.0029999		0.000528339
-0.0001		-0.0029999		0.00057793
-0.0002		-0.0029999		0.000633243
-0.0003		-0.0029999		0.000696186
-0.0004		-0.0029999		0.000761036
-0.0005		-0.0029999		0.000812534
-0.0006		-0.0029999		0.000846867
-0.0007		-0.0029999		0.000852589
-0.0008		-0.0029999		0.000856403
-0.0009		-0.0029999		0.000856403
-0.001		-0.0029999		0.000871662
-0.0011		-0.0029999		0.000896458
-0.0012		-0.0029999		0.00093079
-0.0013		-0.0029999		0.000974659
-0.0014		-0.0029999		0.00105096
-0.0015		-0.0029999		0.00116158
-0.0016		-0.0029999		0.00131799
-0.0017		-0.0029999		0.00151444
-0.0018		-0.0029999		0.00175477
-0.0019		-0.0029999		0.00207902
-0.002		-0.0029999		0.00247766
-0.0021		-0.0029999		0.00295068
-0.0022		-0.0029999		0.00336649
-0.0023		-0.0029999		0.00366212
-0.0024		-0.0029999		0.00388719
-0.0025		-0.0029999		0.004118
-0.0026		-0.0029999		0.0044041
-0.0027		-0.0029999		0.00470355
-0.0028		-0.0029999		0.00490382
-0.0029		-0.0029999		0.00503543
-0.003		-0.0029999		0.005106
-0.0031		-0.0029999		0.00515941
-0.0032		-0.0029999		0.00521472
-0.0033		-0.0029999		0.00517657
-0.0034		-0.0029999		0.0050278
-0.0035		-0.0029999		0.00476077
-0.0036		-0.0029999		0.00428584
-0.0037		-0.0029999		0.00376512
-0.0038		-0.0029999		0.00321771
-0.0039		-0.0029999		0.00275613
-0.004		-0.0029999		0.00234605
-0.0041		-0.0029999		0.0020218
-0.0042		-0.0029999		0.00174905
-0.0043		-0.0029999		0.00156022
-0.0044		-0.0029999		0.00143243
-0.0045		-0.0029999		0.00133324
-0.0046		-0.0029999		0.00125314
-0.0047		-0.0029999		0.00117684
-0.0048		-0.0029999		0.00107384
-0.0049		-0.0029999		0.000970844
-0.005		-0.0029999		0.000883106
-0.0057		-0.0034999		0.000511173
-0.0056		-0.0034999		0.000541214
-0.0055		-0.0034999		0.00057793
-0.0054		-0.0034999		0.000620369
-0.0053		-0.0034999		0.000653747
-0.0052		-0.0034999		0.000692848
-0.0051		-0.0034999		0.000741486
-0.005		-0.0034999		0.000812057
-0.0049		-0.0034999		0.000912193
-0.0048		-0.0034999		0.00100756
-0.0047		-0.0034999		0.00111581
-0.0046		-0.0034999		0.00123406
-0.0045		-0.0034999		0.00133658
-0.0044		-0.0034999		0.0014515
-0.0043		-0.0034999		0.00157166
-0.0042		-0.0034999		0.00173522
-0.0041		-0.0034999		0.001925
-0.004		-0.0034999		0.00214912
-0.0039		-0.0034999		0.00240709
-0.0038		-0.0034999		0.00265647
-0.0037		-0.0034999		0.00289108
-0.0036		-0.0034999		0.00313903
-0.0035		-0.0034999		0.00337268
