Your comment line - do NOT delete this line
Col 0: X-pos [m]
Col 1: Y-pos [m]
Col 2: Voltage [V]

Col 0		Col 1		Col 2
0.028		-0.01		0.000410082
0.0279		-0.01		0.000444414
0.0278		-0.01		0.000499729
0.0277		-0.01		0.000566486
0.0276		-0.01		0.000644688
0.0275		-0.01		0.000740055
0.0274		-0.01		0.000858311
0.0273		-0.01		0.000978477
0.0272		-0.01		0.00112153
0.0271		-0.01		0.00128556
0.027		-0.01		0.00139809
0.0269		-0.01		0.00150491
0.0268		-0.01		0.00167275
0.0267		-0.01		0.00197221
0.0266		-0.01		0.00251009
0.0265		-0.01		0.00296976
0.0264		-0.01		0.00320055
0.0263		-0.01		0.00376512
0.0262		-0.01		0.00565913
0.0261		-0.01		0.0120392
0.026		-0.01		0.0220739
0.0259		-0.01		0.0331976
0.0258		-0.01		0.0421183
0.0257		-0.01		0.0404685
0.0256		-0.01		0.0316432
0.0255		-0.01		0.0222112
0.0254		-0.01		0.0168477
0.0253		-0.01		0.0156041
0.0252		-0.01		0.0140763
0.0251		-0.01		0.0110207
0.025		-0.01		0.00735667
0.0249		-0.01		0.00431064
0.0248		-0.01		0.0032654
0.0247		-0.01		0.00377466
0.0246		-0.01		0.00452808
0.0245		-0.01		0.00468639
0.0244		-0.01		0.00375368
0.0243		-0.01		0.00260736
0.0242		-0.01		0.00169755
0.0241		-0.01		0.00112725
0.024		-0.01		0.000833515
0.0239		-0.01		0.000692371
0.0238		-0.01		0.000593189
0.0237		-0.01		0.000516895
0.0236		-0.01		0.000455858
0.0235		-0.01		0.000398638
0.0234		-0.01		0.000356676
0.0233		-0.01		0.000326158
0.0232		-0.01		0.000299456
0.0231		-0.01		0.00027466
0.023		-0.01		0.000247957
0.0233		-0.0104999		0.000263216
0.0234		-0.0104999		0.000289919
0.0235		-0.0104999		0.000328066
0.0236		-0.0104999		0.00036812
0.0237		-0.0104999		0.000417711
0.0238		-0.0104999		0.000476839
0.0239		-0.0104999		0.000570301
0.024		-0.0104999		0.000770573
0.0241		-0.0104999		0.00122262
0.0242		-0.0104999		0.00197221
0.0243		-0.0104999		0.00298502
0.0244		-0.0104999		0.00369264
0.0245		-0.0104999		0.00361635
0.0246		-0.0104999		0.00299646
0.0247		-0.0104999		0.00234987
0.0248		-0.0104999		0.00314142
0.0249		-0.0104999		0.00572398
0.025		-0.0104999		0.0100651
0.0251		-0.0104999		0.016184
0.0252		-0.0104999		0.0195981
0.0253		-0.0104999		0.0196935
0.0254		-0.0104999		0.0179158
0.0255		-0.0104999		0.0137025
0.0256		-0.0104999		0.0116044
0.0257		-0.0104999		0.0113164
0.0258		-0.0104999		0.0111123
0.0259		-0.0104999		0.00951964
0.026		-0.0104999		0.00702861
0.0261		-0.0104999		0.00520518
0.0262		-0.0104999		0.00448611
0.0263		-0.0104999		0.00447848
0.0264		-0.0104999		0.00470164
0.0265		-0.0104999		0.00420573
0.0266		-0.0104999		0.00333597
0.0267		-0.0104999		0.00275995
0.0268		-0.0104999		0.00247385
0.0269		-0.0104999		0.00230409
0.027		-0.0104999		0.00204469
0.0271		-0.0104999		0.00171853
0.0272		-0.0104999		0.00146294
0.0273		-0.0104999		0.00121499
0.0274		-0.0104999		0.000993736
0.0275		-0.0104999		0.000783924
0.0276		-0.0104999		0.000629429
0.0277		-0.0104999		0.000528339
0.0278		-0.0104999		0.000455858
0.0279		-0.0104999		0.000398638
0.028		-0.0104999		0.000350954
0.0281		-0.0104999		0.00030327
0.0282		-0.0104999		0.000265123
0.0283		-0.0104999		0.000236512
0.0278		-0.0109999		0.000358583
0.0277		-0.0109999		0.000434877
0.0276		-0.0109999		0.000539783
0.0275		-0.0109999		0.000684742
0.0274		-0.0109999		0.000848774
0.0273		-0.0109999		0.00107957
0.0272		-0.0109999		0.0014782
0.0271		-0.0109999		0.00195695
0.027		-0.0109999		0.00250436
0.0269		-0.0109999		0.00301363
0.0268		-0.0109999		0.00345232
0.0267		-0.0109999		0.0034485
0.0266		-0.0109999		0.00338174
0.0265		-0.0109999		0.00377275
0.0264		-0.0109999		0.00455478
0.0263		-0.0109999		0.00531963
0.0262		-0.0109999		0.00502589
0.0261		-0.0109999		0.00514796
0.026		-0.0109999		0.00586513
0.0259		-0.0109999		0.0054417
0.0258		-0.0109999		0.00508121
0.0257		-0.0109999		0.00481227
0.0256		-0.0109999		0.00409701
0.0255		-0.0109999		0.00395969
0.0254		-0.0109999		0.00425532
0.0253		-0.0109999		0.00403979
0.0252		-0.0109999		0.00392535
0.0251		-0.0109999		0.00351907
0.025		-0.0109999		0.00297929
0.0249		-0.0109999		0.00226785
0.0248		-0.0109999		0.00160981
0.0247		-0.0109999		0.00110818
0.0246		-0.0109999		0.000825886
0.0245		-0.0109999		0.000984199
0.0244		-0.0109999		0.00116158
0.0243		-0.0109999		0.00126649
0.0242		-0.0109999		0.00123978
0.0241		-0.0109999		0.00102616
0.024		-0.0109999		0.000755314
0.0239		-0.0109999		0.000522617
0.0238		-0.0109999		0.000373842
0.0237		-0.0109999		0.000307085
0.0236		-0.0109999		0.000270845
0.0235		-0.0109999		0.00024605
0.0234		-0.0109999		0.000226975
0.0233		-0.0109999		0.000215531
0.0232		-0.0109999		0.000200273
0.0231		-0.0109999		0.000183106
0.023		-0.0109999		0.000164033
0.0229		-0.0109999		0.000158311
0.0228		-0.0109999		0.000158311
0.0235		-0.0114999		0.000178815
0.0236		-0.0114999		0.000197412
0.0237		-0.0114999		0.000225068
0.0238		-0.0114999		0.000276567
0.0239		-0.0114999		0.00033951
0.024		-0.0114999		0.000401976
0.0241		-0.0114999		0.000438215
0.0242		-0.0114999		0.000425817
0.0243		-0.0114999		0.000373842
0.0244		-0.0114999		0.000324251
0.0245		-0.0114999		0.000304701
0.0246		-0.0114999		0.000373842
0.0247		-0.0114999		0.000504021
0.0248		-0.0114999		0.000659946
0.0249		-0.0114999		0.000803474
0.025		-0.0114999		0.00093079
0.0251		-0.0114999		0.0010295
0.0252		-0.0114999		0.00110102
0.0253		-0.0114999		0.00119162
0.0254		-0.0114999		0.00117875
0.0255		-0.0114999		0.00111628
0.0256		-0.0114999		0.00101519
0.0257		-0.0114999		0.00081921
0.0258		-0.0114999		0.000722889
0.0259		-0.0114999		0.000783924
0.026		-0.0114999		0.000842098
0.0261		-0.0114999		0.000955109
0.0262		-0.0114999		0.00109626
0.0263		-0.0114999		0.00115681
0.0264		-0.0114999		0.0012045
0.0265		-0.0114999		0.00144816
0.0266		-0.0114999		0.00150586
0.0267		-0.0114999		0.00149537
0.0268		-0.0114999		0.00138188
0.0269		-0.0114999		0.00121928
0.027		-0.0114999		0.00108624
0.0271		-0.0114999		0.000889305
0.0272		-0.0114999		0.000737194
0.0273		-0.0114999		0.000574116
0.0274		-0.0114999		0.000470163
0.0275		-0.0114999		0.00039673
0.0276		-0.0114999		0.000339033
0.0277		-0.0114999		0.000300409
0.0278		-0.0114999		0.000258448
0.0279		-0.0114999		0.000222207
0.028		-0.0114999		0.000197888
0.0281		-0.0114999		0.000179769
0.0282		-0.0114999		0.000158311
0.0283		-0.0114999		0.000141622
0.0284		-0.0114999		0.000127316
0.0285		-0.0114999		0.000115395
0.0291		-0.0119999		7.35526e-05
0.029		-0.0119999		7.80826e-05
0.0289		-0.0119999		7.98707e-05
0.0288		-0.0119999		8.42814e-05
0.0287		-0.0119999		8.70232e-05
0.0286		-0.0119999		8.95266e-05
0.0285		-0.0119999		9.33413e-05
0.0284		-0.0119999		9.79905e-05
0.0283		-0.0119999		0.00010264
0.0282		-0.0119999		0.000110269
0.0281		-0.0119999		0.000118614
0.028		-0.0119999		0.000126363
0.0279		-0.0119999		0.000136257
0.0278		-0.0119999		0.000151039
0.0277		-0.0119999		0.000165702
0.0276		-0.0119999		0.000175715
0.0275		-0.0119999		0.000190021
0.0274		-0.0119999		0.000208736
0.0273		-0.0119999		0.000222684
0.0272		-0.0119999		0.000237943
0.0271		-0.0119999		0.000256183
0.027		-0.0119999		0.000284435
0.0269		-0.0119999		0.000311496
0.0268		-0.0119999		0.000340464
0.0267		-0.0119999		0.000374796
0.0266		-0.0119999		0.000410559
0.0265		-0.0119999		0.000442626
0.0264		-0.0119999		0.000484468
0.0263		-0.0119999		0.000510816
0.0262		-0.0119999		0.000516418
0.0261		-0.0119999		0.00050867
0.026		-0.0119999		0.0004586
0.0259		-0.0119999		0.000402572
0.0258		-0.0119999		0.000385405
0.0257		-0.0119999		0.000360729
0.0256		-0.0119999		0.000401618
0.0255		-0.0119999		0.000530366
0.0254		-0.0119999		0.00065029
0.0253		-0.0119999		0.000725988
0.0252		-0.0119999		0.000749115
0.0251		-0.0119999		0.000665072
0.025		-0.0119999		0.000555281
0.0249		-0.0119999		0.000475289
0.0248		-0.0119999		0.000413897
0.0247		-0.0119999		0.000373127
0.0246		-0.0119999		0.000296356
0.0245		-0.0119999		0.000228168
0.0244		-0.0119999		0.00019014
0.0243		-0.0119999		0.000180961
0.0242		-0.0119999		0.000192405
0.0241		-0.0119999		0.000217916
0.0227		-0.0124999		6.99763e-05
0.0228		-0.0124999		6.94995e-05
0.0229		-0.0124999		7.11684e-05
0.023		-0.0124999		7.51023e-05
0.0231		-0.0124999		8.03475e-05
0.0232		-0.0124999		8.48775e-05
0.0233		-0.0124999		8.89902e-05
0.0234		-0.0124999		9.85865e-05
0.0235		-0.0124999		0.000118554
0.0236		-0.0124999		0.000147224
0.0237		-0.0124999		0.000172974
0.0238		-0.0124999		0.000186146
0.0239		-0.0124999		0.00017506
0.024		-0.0124999		0.00015843
0.0241		-0.0124999		0.000142218
0.0242		-0.0124999		0.000144423
0.0243		-0.0124999		0.000206293
0.0244		-0.0124999		0.000325801
0.0245		-0.0124999		0.000450196
0.0246		-0.0124999		0.000504795
0.0247		-0.0124999		0.00047827
