Your comment line - do NOT delete this line
Col 0: Axis index
Col 1: S_path [m]
Col 2: Max voltage X-pos[m]
Col 3: Max voltage Y-pos[m]
Col 4: Max voltage [V]
Col 5: Full width half maximum (FWHM) [m]

Col 0	Col 1	Col 2	Col 3	Col 4	Col 5
0	0	0.0254	0.0029999	0.02977	0.000513816890529
0	0.0	0.0254	0.0029999	0.02977	0.000513816890529
1	0.000509901951359	0.0255	0.0024999	0.0184785	0.000519791372545
0	0.0	0.0254	0.0029999	0.02977	0.000513816890529
1	0.000500004817008	0.0255	0.0024999	0.0184785	0.000519791372545
2	0.00099989999884	0.0254	0.002	0.067719	0.000439751601873
0	0.0	0.0254	0.0029999	0.02977	0.000513816890529
1	0.000497888167067	0.0255	0.0024999	0.0184785	0.000519791372545
2	0.000999697844947	0.0254	0.002	0.067719	0.000439751601873
3	0.00149969673709	0.0254	0.0014999	0.218438	0
0	0.0	0.0254	0.0029999	0.02977	0.000513816890529
1	0.000501907663866	0.0255	0.0024999	0.0184785	0.000519791372545
2	0.000999698290442	0.0254	0.002	0.067719	0.000439751601873
3	0.0014996974054	0.0254	0.0014999	0.218438	0
4	0.00200150508944	0.0255	0.001	0.0432589	0.000476055638277
0	0.0	0.0254	0.0029999	0.02977	0.000513816890529
1	0.00050265847475	0.0255	0.0024999	0.0184785	0.000519791372545
2	0.000999489972778	0.0254	0.002	0.067719	0.000439751601873
3	0.00149938489766	0.0254	0.0014999	0.218438	0
4	0.00200194341341	0.0255	0.001	0.0432589	0.000476055638277
5	0.00250183833829	0.0255	0.0004999	0.0157548	0.00131548217933
0	0.0	0.0254	0.0029999	0.02977	0.000513816890529
1	0.000502656038111	0.0255	0.0024999	0.0184785	0.000519791372545
2	0.000999490786939	0.0254	0.002	0.067719	0.000439751601873
3	0.00149938611902	0.0254	0.0014999	0.218438	0
4	0.00200194219806	0.0255	0.001	0.0432589	0.000476055638277
5	0.00250183753014	0.0255	0.0004999	0.0157548	0.00131548217933
6	0.00300163290315	0.0255	-1e-07	0.0209886	0.000998708882292
0	0.0	0.0254	0.0029999	0.02977	0.000513816890529
1	0.000502449298134	0.0255	0.0024999	0.0184785	0.000519791372545
2	0.000999556472576	0.0254	0.002	0.067719	0.000439751601873
3	0.00149948465733	0.0254	0.0014999	0.218438	0
4	0.00200183398982	0.0255	0.001	0.0432589	0.000476055638277
5	0.00250176217457	0.0255	0.0004999	0.0157548	0.00131548217933
6	0.00300159039368	0.0255	-1e-07	0.0209886	0.000998708882292
7	0.00350131864715	0.0255	-0.0005	0.0171586	0.000615436234863
0	0.0	0.0254	0.0029999	0.02977	0.000513816890529
1	0.000498254871793	0.0255	0.0024999	0.0184785	0.000519791372545
2	0.000999759725618	0.0254	0.002	0.067719	0.000439751601873
3	0.00149978956738	0.0254	0.0014999	0.218438	0
4	0.00199794445321	0.0255	0.001	0.0432589	0.000476055638277
