Your comment line - do NOT delete this line
Col 0: Axis index
Col 1: S_path [m]
Col 2: Max voltage X-pos[m]
Col 3: Max voltage Y-pos[m]
Col 4: Max voltage [V]
Col 5: Full width half maximum (FWHM) [m]

Col 0	Col 1	Col 2	Col 3	Col 4	Col 5
0	0	0.03175	0.0025	0.453432	0.000334127808209
0	0.0	0.03175	0.0025	0.453432	0.000334127808209
1	5e-05	0.03175	0.00245	0.491213	0.000329435657678
0	0.0	0.03175	0.0025	0.453432	0.000334127808209
1	2.35691482991e-05	0.03175	0.00245	0.491213	0.000329435657678
2	0.000179380452034	0.0316	0.0024001	0.467958	0.000318518888256
0	0.0	0.03175	0.0025	0.453432	0.000334127808209
1	3.17821638181e-05	0.03175	0.00245	0.491213	0.000329435657678
2	0.000179298200963	0.0316	0.0024001	0.467958	0.000318518888256
3	0.00018611518303	0.03165	0.0023501	0.402102	0.000320316830786
0	0.0	0.03175	0.0025	0.453432	0.000334127808209
1	3.91552508254e-05	0.03175	0.00245	0.491213	0.000329435657678
2	0.000171515614088	0.0316	0.0024001	0.467958	0.000318518888256
3	0.0001795763906	0.03165	0.0023501	0.402102	0.000320316830786
4	0.000218731641426	0.03165	0.0023001	0.299807	0.00032841855152
0	0.0	0.03175	0.0025	0.453432	0.000334127808209
1	4.40793745265e-05	0.03175	0.00245	0.491213	0.000329435657678
2	0.000158873688203	0.0316	0.0024001	0.467958	0.000318518888256
3	0.000179352030097	0.03165	0.0023501	0.402102	0.000320316830786
4	0.000223431404623	0.03165	0.0023001	0.299807	0.00032841855152
5	0.00026751077915	0.03165	0.0022501	0.194886	0.000340390412092
0	0.0	0.03175	0.0025	0.453432	0.000334127808209
1	4.67425774906e-05	0.03175	0.00245	0.491213	0.000329435657678
2	0.000146647496229	0.0316	0.0024001	0.467958	0.000318518888256
3	0.000175638131585	0.03165	0.0023501	0.402102	0.000320316830786
4	0.000222380709076	0.03165	0.0023001	0.299807	0.00032841855152
5	0.000269123286566	0.03165	0.0022501	0.194886	0.000340390412092
6	0.000315865864057	0.03165	0.0022001	0.137757	0.000351300063672
