Your comment line - do NOT delete this line
Col 0: X-pos [m]
Col 1: Y-pos [m]
Col 2: Voltage [V]

Col 0		Col 1		Col 2
0.031		0.0025		0.00054932
0.03105		0.0025		6.10356e-05
0.0311		0.0025		6.10356e-05
0.03115		0.0025		0.000122071
0.0312		0.0025		0.000183106
0.03125		0.0025		0.000427248
0.0313		0.0025		0.000793461
0.03135		0.0025		0.0018921
0.0314		0.0025		0.00701907
0.03145		0.0025		0.0215455
0.0315		0.0025		0.0471804
0.03155		0.0025		0.08252
0.0316		0.0025		0.12555
0.03165		0.0025		0.16742
0.0317		0.0025		0.206178
0.03175		0.0025		0.231935
0.0318		0.0025		0.243287
0.03185		0.0025		0.223145
0.0319		0.0025		0.181092
0.03195		0.0025		0.131532
0.032		0.0025		0.0844121
0.03205		0.0025		0.0489504
0.0321		0.0025		0.0225831
0.03215		0.0025		0.00720218
0.0322		0.0025		0.00201418
0.03225		0.0025		0.000793461
0.0323		0.0025		0.000427248
0.03235		0.0025		0.000183106
0.0324		0.0025		0.000122071
0.03245		0.0025		6.10356e-05
0.0325		0.0025		6.10356e-05
0.0325		0.0024501		6.10356e-05
0.03245		0.0024501		6.10356e-05
0.0324		0.0024501		0.000122071
0.03235		0.0024501		0.000122071
0.0323		0.0024501		0.000244142
0.03225		0.0024501		0.00054932
0.0322		0.0024501		0.00122071
0.03215		0.0024501		0.00415042
0.0321		0.0024501		0.0140992
0.03205		0.0024501		0.0355227
0.032		0.0024501		0.0640264
0.03195		0.0024501		0.104187
0.0319		0.0024501		0.149171
0.03185		0.0024501		0.187379
0.0318		0.0024501		0.210999
0.03175		0.0024501		0.212037
0.0317		0.0024501		0.190125
0.03165		0.0024501		0.1568
0.0316		0.0024501		0.11908
0.03155		0.0024501		0.0812383
0.0315		0.0024501		0.048157
0.03145		0.0024501		0.0234376
0.0314		0.0024501		0.00714114
0.03135		0.0024501		0.00201418
0.0313		0.0024501		0.000793461
0.03125		0.0024501		0.000427248
0.0312		0.0024501		0.000183106
0.03115		0.0024501		0.000122071
0.0311		0.0024501		6.10356e-05
0.03105		0.0024501		6.10356e-05
0.031		0.0024501		6.10356e-05
0.031		0.0024001		6.10356e-05
0.03105		0.0024001		6.10356e-05
0.0311		0.0024001		6.10356e-05
0.03115		0.0024001		6.10356e-05
0.0312		0.0024001		0.000122071
0.03125		0.0024001		0.000244142
0.0313		0.0024001		0.000488285
0.03135		0.0024001		0.00109864
0.0314		0.0024001		0.00372316
0.03145		0.0024001		0.0143433
0.0315		0.0024001		0.0333865
0.03155		0.0024001		0.0598147
0.0316		0.0024001		0.0890508
0.03165		0.0024001		0.120606
0.0317		0.0024001		0.148255
0.03175		0.0024001		0.165406
0.0318		0.0024001		0.169251
0.03185		0.0024001		0.151856
0.0319		0.0024001		0.121583
0.03195		0.0024001		0.0868535
0.032		0.0024001		0.0549319
0.03205		0.0024001		0.0302125
0.0321		0.0024001		0.0127564
0.03215		0.0024001		0.00384523
0.0322		0.0024001		0.00122071
0.03225		0.0024001		0.00054932
0.0323		0.0024001		0.000244142
0.03235		0.0024001		0.000122071
0.0324		0.0024001		0.000122071
0.03245		0.0024001		6.10356e-05
0.0325		0.0024001		6.10356e-05
0.0325		0.0023501		6.10356e-05
0.03245		0.0023501		6.10356e-05
0.0324		0.0023501		0.000122071
0.03235		0.0023501		0.000122071
0.0323		0.0023501		0.000183106
0.03225		0.0023501		0.000366213
0.0322		0.0023501		0.000793461
0.03215		0.0023501		0.0018921
0.0321		0.0023501		0.0056763
0.03205		0.0023501		0.0148926
0.032		0.0023501		0.032593
0.03195		0.0023501		0.0549929
0.0319		0.0023501		0.08075
0.03185		0.0023501		0.103211
0.0318		0.0023501		0.116211
0.03175		0.0023501		0.120179
0.0317		0.0023501		0.111817
0.03165		0.0023501		0.0925298
0.0316		0.0023501		0.0709233
0.03155		0.0023501		0.0475466
0.0315		0.0023501		0.0263063
0.03145		0.0023501		0.0111085
0.0314		0.0023501		0.00360109
0.03135		0.0023501		0.00109864
0.0313		0.0023501		0.000488285
0.03125		0.0023501		0.000244142
0.0312		0.0023501		0.000122071
0.03115		0.0023501		6.10356e-05
0.0311		0.0023501		6.10356e-05
0.03105		0.0023501		6.10356e-05
0.031		0.0023501		6.10356e-05
0.031		0.0023001		6.10356e-05
0.03105		0.0023001		6.10356e-05
0.0311		0.0023001		6.10356e-05
0.03115		0.0023001		6.10356e-05
0.0312		0.0023001		0.000122071
0.03125		0.0023001		0.000183106
0.0313		0.0023001		0.000366213
0.03135		0.0023001		0.000732426
0.0314		0.0023001		0.00158692
0.03145		0.0023001		0.00469974
0.0315		0.0023001		0.0128785
0.03155		0.0023001		0.0263673
0.0316		0.0023001		0.0439456
0.03165		0.0023001		0.0596926
0.0317		0.0023001		0.0719609
0.03175		0.0023001		0.0782475
0.0318		0.0023001		0.0770879
0.03185		0.0023001		0.0680547
0.0319		0.0023001		0.0535281
0.03195		0.0023001		0.03772
0.032		0.0023001		0.0218507
0.03205		0.0023001		0.00988775
0.0321		0.0023001		0.00421146
0.03215		0.0023001		0.00158692
0.0322		0.0023001		0.00067139
0.03225		0.0023001		0.000305178
0.0323		0.0023001		0.000183106
0.03235		0.0023001		0.000122071
0.0324		0.0023001		0.000122071
0.03245		0.0023001		6.10356e-05
0.0325		0.0023001		6.10356e-05
