Your comment line - do NOT delete this line
Col 0: Axis index
Col 1: S_path [m]
Col 2: Max voltage X-pos[m]
Col 3: Max voltage Y-pos[m]
Col 4: Max voltage [V]
Col 5: Full width half maximum (FWHM) [m]

Col 0	Col 1	Col 2	Col 3	Col 4	Col 5
0	0	0.03165	0.0023	0.286318	0.000330976313231
0	0.0	0.03165	0.0023	0.286318	0.000330976313231
1	0.0004999	0.03165	0.0018001	0.0353396	0.000357979517352
0	0.0	0.03165	0.0023	0.286318	0.000330976313231
1	0.000499275092575	0.03165	0.0018001	0.0353396	0.000357979517352
2	0.00100114934357	0.0316	0.0013001	0.0134888	0.000363819589088
0	0.0	0.03165	0.0023	0.286318	0.000330976313231
1	0.000499874938346	0.03165	0.0018001	0.0353396	0.000357979517352
2	0.00100035053163	0.0316	0.0013001	0.0134888	0.000363819589088
3	0.00149982480501	0.03165	0.0008001	0.0130005	0.00037108631368
0	0.0	0.03165	0.0023	0.286318	0.000330976313231
1	0.00049979988318	0.03165	0.0018001	0.0353396	0.000357979517352
2	0.00100070038023	0.0316	0.0013001	0.0134888	0.000363819589088
3	0.00149959960948	0.03165	0.0008001	0.0130005	0.00037108631368
4	0.00200050010654	0.0316	0.0003001	0.0114747	0.000366617192927
0	0.0	0.03165	0.0023	0.286318	0.000330976313231
1	0.000499799951856	0.03165	0.0018001	0.0353396	0.000357979517352
2	0.00100070017438	0.0316	0.0013001	0.0134888	0.000363819589088
3	0.00149959981554	0.03165	0.0008001	0.0130005	0.00037108631368
4	0.00200050003806	0.0316	0.0003001	0.0114747	0.000366617192927
5	0.0025003999699	0.0316	-0.0001999	0.0166627	0.000380122995815
0	0.0	0.03165	0.0023	0.286318	0.000330976313231
1	0.00049982026981	0.03165	0.0018001	0.0353396	0.000357979517352
2	0.001000633495	0.0316	0.0013001	0.0134888	0.000363819589088
3	0.00149966077753	0.03165	0.0008001	0.0130005	0.00037108631368
4	0.00200047400272	0.0316	0.0003001	0.0114747	0.000366617192927
5	0.00250039425658	0.0316	-0.0001999	0.0166627	0.000380122995815
6	0.0030004144945	0.0316	-0.0007	0.0653081	0.000381000734672
0	0.0	0.03165	0.0023	0.286318	0.000330976313231
1	0.000499840119643	0.03165	0.0018001	0.0353396	0.000357979517352
2	0.00100055410552	0.0316	0.0013001	0.0134888	0.000363819589088
3	0.00149972033497	0.03165	0.0008001	0.0130005	0.00037108631368
4	0.00200043432085	0.0316	0.0003001	0.0114747	0.000366617192927
5	0.00250037442851	0.0316	-0.0001999	0.0166627	0.000380122995815
6	0.0030004145242	0.0316	-0.0007	0.0653081	0.000381000734672
7	0.00350025464384	0.0316	-0.0011999	0.0565188	0.00036957082221
0	0.0	0.03165	0.0023	0.286318	0.000330976313231
1	0.000499800010612	0.03165	0.0018001	0.0353396	0.000357979517352
2	0.00100069999816	0.0316	0.0013001	0.0134888	0.000363819589088
3	0.00149959999183	0.03165	0.0008001	0.0130005	0.00037108631368
4	0.00200049997938	0.0316	0.0003001	0.0114747	0.000366617192927
5	0.00250039996999	0.0316	-0.0001999	0.0166627	0.000380122995815
6	0.0030003999406	0.0316	-0.0007	0.0653081	0.000381000734672
7	0.00350019995121	0.0316	-0.0011999	0.0565188	0.00036957082221
8	0.00400109993876	0.03155	-0.0016999	0.0586245	0.000364331566225
0	0.0	0.03165	0.0023	0.286318	0.000330976313231
1	0.000499837924606	0.03165	0.0018001	0.0353396	0.000357979517352
2	0.00100056377053	0.0316	0.0013001	0.0134888	0.000363819589088
3	0.00149971374898	0.03165	0.0008001	0.0130005	0.00037108631368
4	0.0020004395949	0.0316	0.0003001	0.0114747	0.000366617192927
5	0.00250037750709	0.0316	-0.0001999	0.0166627	0.000380122995815
6	0.00300041540686	0.0316	-0.0007	0.0653081	0.000381000734672
7	0.00350025333147	0.0316	-0.0011999	0.0565188	0.00036957082221
8	0.00400097917739	0.03155	-0.0016999	0.0586245	0.000364331566225
9	0.00450012915585	0.0316	-0.0021999	0.0339739	0.000382366475165
0	0.0	0.03165	0.0023	0.286318	0.000330976313231
