Your comment line - do NOT delete this line
Col 0: X-pos [m]
Col 1: Y-pos [m]
Col 2: Voltage [V]

Col 0		Col 1		Col 2
-0.0003		-0.003		7.24797e-05
-0.00025		-0.003		9.15532e-05
-0.0002		-0.003		0.000122071
-0.00015		-0.003		0.000156404
-0.0001		-0.003		0.000217439
-5e-05		-0.003		0.000297548
0.0		-0.003		0.00040436
5e-05		-0.003		0.000537876
0.0001		-0.003		0.000701908
0.00015		-0.003		0.000869755
0.0002		-0.003		0.00102616
0.00025		-0.003		0.00117493
0.0003		-0.003		0.00134278
0.00035		-0.003		0.00151444
0.0004		-0.003		0.0016327
0.00045		-0.003		0.00175095
0.0005		-0.003		0.00181199
0.00055		-0.003		0.00182725
0.0006		-0.003		0.00179292
0.00065		-0.003		0.00164796
0.0007		-0.003		0.00142289
0.00075		-0.003		0.00115205
0.0008		-0.003		0.000839237
0.00085		-0.003		0.000583652
0.0009		-0.003		0.000389101
0.00095		-0.003		0.000247957
0.001		-0.003		0.000167848
0.00105		-0.003		0.000125886
0.0011		-0.003		9.53679e-05
0.00115		-0.003		8.39238e-05
0.0012		-0.003		7.62944e-05
0.0013		-0.0030999		6.8665e-05
0.00125		-0.0030999		7.24797e-05
0.0012		-0.0030999		7.24797e-05
0.00115		-0.0030999		8.39238e-05
0.0011		-0.0030999		9.91826e-05
0.00105		-0.0030999		0.000125886
0.001		-0.0030999		0.000179292
0.00095		-0.0030999		0.000278475
0.0009		-0.0030999		0.000442507
0.00085		-0.0030999		0.000663761
0.0008		-0.0030999		0.00092316
0.00075		-0.0030999		0.0012169
0.0007		-0.0030999		0.00149537
0.00065		-0.0030999		0.00169373
0.0006		-0.0030999		0.00181199
0.00055		-0.0030999		0.00186539
0.0005		-0.0030999		0.00185777
0.00045		-0.0030999		0.00172044
0.0004		-0.0030999		0.00157548
0.00035		-0.0030999		0.00144578
0.0003		-0.0030999		0.00129319
0.00025		-0.0030999		0.00112153
0.0002		-0.0030999		0.000972752
0.00015		-0.0030999		0.000816349
0.0001		-0.0030999		0.000663761
5e-05		-0.0030999		0.000511173
0.0		-0.0030999		0.000381472
-5e-05		-0.0030999		0.00027466
-0.0001		-0.0030999		0.00019455
-0.00015		-0.0030999		0.00013733
-0.0002		-0.0030999		0.000106812
-0.0002		-0.0031999		0.000102997
-0.00015		-0.0031999		0.000133515
-0.0001		-0.0031999		0.000186921
-5e-05		-0.0031999		0.00027466
0.0		-0.0031999		0.000366213
5e-05		-0.0031999		0.000507358
0.0001		-0.0031999		0.00067139
0.00015		-0.0031999		0.000846867
0.0002		-0.0031999		0.00100709
0.00025		-0.0031999		0.0011673
0.0003		-0.0031999		0.00136185
0.00035		-0.0031999		0.001503
0.0004		-0.0031999		0.00169373
0.00045		-0.0031999		0.00184251
0.0005		-0.0031999		0.00187302
0.00055		-0.0031999		0.00189973
0.0006		-0.0031999		0.00188828
0.00065		-0.0031999		0.00181199
0.0007		-0.0031999		0.00162507
0.00075		-0.0031999		0.00128556
0.0008		-0.0031999		0.00097657
0.00085		-0.0031999		0.000682835
0.0009		-0.0031999		0.00046158
0.00095		-0.0031999		0.000289919
0.001		-0.0031999		0.000183106
0.00105		-0.0031999		0.000129701
0.0011		-0.0031999		0.000102997
0.00115		-0.0031999		8.01091e-05
0.0012		-0.0031999		7.24797e-05
0.00125		-0.0031999		6.48503e-05
0.0013		-0.0031999		6.10356e-05
0.0013		-0.0033		6.10356e-05
0.00125		-0.0033		7.62944e-05
0.0012		-0.0033		8.39238e-05
0.00115		-0.0033		9.53679e-05
0.0011		-0.0033		0.000114441
0.00105		-0.0033		0.000156404
0.001		-0.0033		0.000217439
0.00095		-0.0033		0.000366213
0.0009		-0.0033		0.000602726
0.00085		-0.0033		0.00086594
0.0008		-0.0033		0.00118638
0.00075		-0.0033		0.00157929
0.0007		-0.0033		0.00187302
0.00065		-0.0033		0.00226976
0.0006		-0.0033		0.00234987
0.00055		-0.0033		0.00227357
0.0005		-0.0033		0.00226976
0.00045		-0.0033		0.00212099
0.0004		-0.0033		0.00213625
0.00035		-0.0033		0.00198747
0.0003		-0.0033		0.00177384
0.00025		-0.0033		0.00151826
0.0002		-0.0033		0.00119401
0.00015		-0.0033		0.000942234
0.0001		-0.0033		0.000709537
5e-05		-0.0033		0.000572208
0.0		-0.0033		0.000423433
-5e-05		-0.0033		0.000305178
-0.0001		-0.0033		0.000198365
-0.00015		-0.0033		0.000133515
-0.0002		-0.0033		0.000102997
-0.00015		-0.0034		0.000164033
-0.0001		-0.0034		0.000247957
-5e-05		-0.0034		0.000331881
0.0		-0.0034		0.000434877
5e-05		-0.0034		0.000724796
0.0001		-0.0034		0.000892643
0.00015		-0.0034		0.00120164
0.0002		-0.0034		0.00180817
0.00025		-0.0034		0.002903
