Your comment line - do NOT delete this line
Col 0: Axis index
Col 1: S_path [m]
Col 2: Max voltage X-pos[m]
Col 3: Max voltage Y-pos[m]
Col 4: Max voltage [V]
Col 5: Full width half maximum (FWHM) [m]

Col 0	Col 1	Col 2	Col 3	Col 4	Col 5
0	0	0.01825	-0.001	0.00137401	0.000851744670358
0	0.0	0.01825	-0.001	0.00137401	0.000851744670358
1	0.000538423634325	0.01805	-0.0014999	0.00146724	0.000807298377175
0	0.0	0.01825	-0.001	0.00137401	0.000851744670358
1	0.000538423634005	0.01805	-0.0014999	0.00146724	0.000807298377175
2	0.0010769401144	0.01785	-0.0019999	0.00141431	0.00084983683065
0	0.0	0.01825	-0.001	0.00137401	0.000851744670358
1	0.000538245433772	0.01805	-0.0014999	0.00146724	0.000807298377175
2	0.00107658272632	0.01785	-0.0019999	0.00141431	0.00084983683065
3	0.00163468087245	0.0176	-0.0024999	0.00125862	0.00106065928814
0	0.0	0.01825	-0.001	0.00137401	0.000851744670358
1	0.000537937170877	0.01805	-0.0014999	0.00146724	0.000807298377175
2	0.00107596552433	0.01785	-0.0019999	0.00141431	0.00084983683065
3	0.00163452275099	0.0176	-0.0024999	0.00125862	0.00106065928814
4	0.00219307997766	0.01735	-0.0029999	0.0013398	0.000954096653089
0	0.0	0.01825	-0.001	0.00137401	0.000851744670358
1	0.000538340728777	0.01805	-0.0014999	0.00146724	0.000807298377175
2	0.00107677363654	0.01785	-0.0019999	0.00141431	0.00084983683065
3	0.00163459104417	0.0176	-0.0024999	0.00125862	0.00106065928814
4	0.00219240845181	0.01735	-0.0029999	0.0013398	0.000954096653089
5	0.00269207235981	0.01725	-0.0034999	0.00164259	0.000776623401638
0	0.0	0.01825	-0.001	0.00137401	0.000851744670358
1	0.000538358664982	0.01805	-0.0014999	0.00146724	0.000807298377175
2	0.00107680958684	0.01785	-0.0019999	0.00141431	0.00084983683065
3	0.0016345521494	0.0176	-0.0024999	0.00125862	0.00106065928814
4	0.00219229471197	0.01735	-0.0029999	0.0013398	0.000954096653089
5	0.0026921623524	0.01725	-0.0034999	0.00164259	0.000776623401638
6	0.00324999717184	0.017	-0.004	0.00165094	0.00084487708716
0	0.0	0.01825	-0.001	0.00137401	0.000851744670358
1	0.000538412795055	0.01805	-0.0014999	0.00146724	0.000807298377175
2	0.00107691819765	0.01785	-0.0019999	0.00141431	0.00084983683065
3	0.00163429052641	0.0176	-0.0024999	0.00125862	0.00106065928814
4	0.00219166285517	0.01735	-0.0029999	0.0013398	0.000954096653089
5	0.00269243440543	0.01725	-0.0034999	0.00164259	0.000776623401638
6	0.00324989934173	0.017	-0.004	0.00165094	0.00084487708716
7	0.00376944521062	0.01685	-0.0044999	0.00123239	0.00108582998844
0	0.0	0.01825	-0.001	0.00137401	0.000851744670358
1	0.000538409339535	0.01805	-0.0014999	0.00146724	0.000807298377175
2	0.00107691125104	0.01785	-0.0019999	0.00141431	0.00084983683065
3	0.00163432367892	0.0176	-0.0024999	0.00125862	0.00106065928814
4	0.00219173610679	0.01735	-0.0029999	0.0013398	0.000954096653089
5	0.00269241698555	0.01725	-0.0034999	0.00164259	0.000776623401638
6	0.0032499219854	0.017	-0.004	0.00165094	0.00084487708716
7	0.00376942080856	0.01685	-0.0044999	0.00123239	0.00108582998844
8	0.00432683323644	0.0166	-0.0049999	0.00107551	0.0011501916472
0	0.0	0.01825	-0.001	0.00137401	0.000851744670358
1	0.000538409031146	0.01805	-0.0014999	0.00146724	0.000807298377175
2	0.0010769106313	0.01785	-0.0019999	0.00141431	0.00084983683065
3	0.00163432636656	0.0176	-0.0024999	0.00125862	0.00106065928814
4	0.00219174210181	0.01735	-0.0029999	0.0013398	0.000954096653089
5	0.00269241543178	0.01725	-0.0034999	0.00164259	0.000776623401638
6	0.00324992373604	0.017	-0.004	0.00165094	0.00084487708716
7	0.00376941863209	0.01685	-0.0044999	0.00123239	0.00108582998844
8	0.00432683436735	0.0166	-0.0049999	0.00107551	0.0011501916472
