Your comment line - do NOT delete this line
Col 0: X-pos [m]
Col 1: Y-pos [m]
Col 2: Voltage [V]

Col 0		Col 1		Col 2
-0.003		-0.0005001		1.76431e-05
-0.0025		-0.0005001		3.09946e-05
-0.002		-0.0005001		6.46119e-05
-0.0015		-0.0005001		0.000131131
-0.001		-0.0005001		0.000117302
-0.0005		-0.0005001		5.36444e-05
0.0		-0.0005001		2.98024e-05
0.0005		-0.0005001		1.78815e-05
0.001		-0.0005001		1.07289e-05
0.0015		-0.0005001		5.48366e-06
0.002		-0.0005001		2.14578e-06
0.0025		-0.0005001		9.53682e-07
0.003		-0.0005001		9.53682e-07
0.0015		-0.0006		2.86104e-06
0.001		-0.0006		7.86787e-06
0.0005		-0.0006		1.45436e-05
0.0		-0.0006		2.57493e-05
-0.0005		-0.0006		4.76839e-05
-0.001		-0.0006		0.000104905
-0.0015		-0.0006		0.000120163
-0.002		-0.0006		6.17509e-05
-0.0025		-0.0006		2.98024e-05
-0.003		-0.0006		1.74047e-05
-0.0035		-0.0006		1.09673e-05
-0.004		-0.0006		7.39101e-06
-0.0045		-0.0006		5.00682e-06
